Part Number,Shaft Size,Shaft Size Type,Bolt Spacing Min,Bolt Spacing Max,Base to Center Height,C90 Dynamic Load Rating,Max. Speed,Lubrication,CAD,Shaft Size,Shaft Size Type,Lubrication,Housing Type,Housing Coating,Dimension B,Dimension S1,Dimension R,Dimension L,Dimension E,Dimension A,Dimension J Min.,Dimension J Max.,Bolt Diameter,Dimension N,Dimension N1,Dimension H1,Dimension H2,Dimension d1,Dimension H,Dimension W,e,X (if Fa/Fr ≤ e),Y (if Fa/Fr ≤ e),X (if Fa/Fr > e),Y (if Fa/Fr > e),K Factor,C90 Dynamic Load Rating2,C0 Static Load Rating,Fa-max Maximum Permissible Thrust Load3,Fr-max Maximum Allowable Slip Fit Radial Load4,Max. Speed5,Note,EXPANSION
ESA-P2BA-TRB-1 3/16,1 3/16 in,Imperial ,4-9/16 in,4-15/16 in,1-1/2 in,3810 lbf,4490 rpm,Grease - Premium Industrial ,,['1 3/16 in'],['Imperial'],['Grease - Premium Industrial'],['Type E Self-Aligning'],['Powder Coat'],['2-3/8 in'],['1-3/8 in'],['1 in'],['6 1/4 in'],['2-5/16 in'],['1-7/8 in'],['4-9/16 in'],['4-15/16 in'],['1/2 in'],['9/16 in'],['3/4 in'],['7/8 in'],['3-19/32 in'],['2-1/4 in'],['1-1/2 in'],['4-1/16 in'],['0.49'],['0.87'],['1.77'],['0.7'],['2.14'],['1.23'],['3810 lbf'],['15760 lbf'],['2000 lbf'],['3100 lbf'],['4490 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
ESA-P2BA-TRB-1 3/16E,1 3/16 in,Imperial ,4-9/16 in,4-15/16 in,1-1/2 in,3810 lbf,4490 rpm,Grease - Premium Industrial ,,['1 3/16 in'],['Imperial'],['Grease - Premium Industrial'],['Type E Self-Aligning'],['Powder Coat'],['2-3/8 in'],['1-3/8 in'],['1 in'],['6 1/4 in'],['2-5/16 in'],['1-7/8 in'],['4-9/16 in'],['4-15/16 in'],['1/2 in'],['9/16 in'],['3/4 in'],['7/8 in'],['3-19/32 in'],['2-1/4 in'],['1-1/2 in'],['4-1/16 in'],['0.49'],['0.87'],['1.77'],['0.7'],['2.14'],['1.23'],['3810 lbf'],['15760 lbf'],['2000 lbf'],['3100 lbf'],['4490 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['9/16 in']
ESA-P2BA-TRB-1 1/4,1 1/4 in,Imperial ,4-9/16 in,4-15/16 in,1-1/2 in,3810 lbf,4490 rpm,Grease - Premium Industrial ,,['1 1/4 in'],['Imperial'],['Grease - Premium Industrial'],['Type E Self-Aligning'],['Powder Coat'],['2-3/8 in'],['1-3/8 in'],['1 in'],['6 1/4 in'],['2-5/16 in'],['1-7/8 in'],['4-9/16 in'],['4-15/16 in'],['1/2 in'],['9/16 in'],['3/4 in'],['7/8 in'],['3-19/32 in'],['2-1/4 in'],['1-1/2 in'],['4-1/16 in'],['0.49'],['0.87'],['1.77'],['0.7'],['2.14'],['1.23'],['3810 lbf'],['15760 lbf'],['2000 lbf'],['3100 lbf'],['4490 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
ESA-P2BA-TRB-1 1/4E,1 1/4 in,Imperial ,4-9/16 in,4-15/16 in,1-1/2 in,3810 lbf,4490 rpm,Grease - Premium Industrial ,,['1 1/4 in'],['Imperial'],['Grease - Premium Industrial'],['Type E Self-Aligning'],['Powder Coat'],['2-3/8 in'],['1-3/8 in'],['1 in'],['6 1/4 in'],['2-5/16 in'],['1-7/8 in'],['4-9/16 in'],['4-15/16 in'],['1/2 in'],['9/16 in'],['3/4 in'],['7/8 in'],['3-19/32 in'],['2-1/4 in'],['1-1/2 in'],['4-1/16 in'],['0.49'],['0.87'],['1.77'],['0.7'],['2.14'],['1.23'],['3810 lbf'],['15760 lbf'],['2000 lbf'],['3100 lbf'],['4490 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['9/16 in']
ESA-P2BA-TRB-1 3/8,1 3/8 in,Imperial ,5-5/16 in,5-15/16 in,1-7/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,,['1 3/8 in'],['Imperial'],['Grease - Premium Industrial'],['Type E Self-Aligning'],['Powder Coat'],['2-17/32 in'],['1-1/2 in'],['1-1/32 in'],['7-1/4 in'],['2-19/32 in'],['2-3/16 in'],['5-5/16 in'],['5-15/16 in'],['1/2 in'],['5/8 in'],['15/16 in'],['1-1/8 in'],['4-1/4 in'],['2-3/4 in'],['1-7/8 in'],['4-5/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
ESA-P2BA-TRB-1 3/8E,1 3/8 in,Imperial ,5-5/16 in,5-15/16 in,1-7/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,,['1 3/8 in'],['Imperial'],['Grease - Premium Industrial'],['Type E Self-Aligning'],['Powder Coat'],['2-17/32 in'],['1-1/2 in'],['1-1/32 in'],['7-1/4 in'],['2-19/32 in'],['2-3/16 in'],['5-5/16 in'],['5-15/16 in'],['1/2 in'],['5/8 in'],['15/16 in'],['1-1/8 in'],['4-1/4 in'],['2-3/4 in'],['1-7/8 in'],['4-5/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['9/16 in']
SAFSA-P2BA-TRB-1 3/8,1 3/8 in,Imperial ,6-1/4 in,7 in,2-1/4 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,,['1 3/8 in'],['Imperial'],['Grease - Premium Industrial'],['SAF Self-Aligning'],['Powder Coat'],['2-17/32 in'],['1-1/2 in'],['1-1/32 in'],['8 in'],['2-19/32 in'],['2-3/16 in'],['6-1/4 in'],['7 in'],['1/2 in'],['9/16 in'],['15/16 in'],['1 in'],['4-5/8 in'],['2-3/4 in'],['2-1/4 in'],['4-5/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
SAFSA-P2BA-TRB-1 3/8E,1 3/8 in,Imperial ,6-1/4 in,7 in,2-1/4 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,,['1 3/8 in'],['Imperial'],['Grease - Premium Industrial'],['SAF Self-Aligning'],['Powder Coat'],['2-17/32 in'],['1-1/2 in'],['1-1/32 in'],['8 in'],['2-19/32 in'],['2-3/16 in'],['6-1/4 in'],['7 in'],['1/2 in'],['9/16 in'],['15/16 in'],['1 in'],['4-5/8 in'],['2-3/4 in'],['2-1/4 in'],['4-5/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['9/16 in']
KSA-P2BA-TRB-1 3/8,1 3/8 in,Imperial ,6-1/4 in,7 in,2-3/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,,['1 3/8 in'],['Imperial'],['Grease - Premium Industrial'],['Double Interlock Self-Aligning'],['Powder Coat'],['2-17/32 in'],['1-1/2 in'],['1-1/32 in'],['8 in'],['2-19/32 in'],['2-3/16 in'],['6-1/4 in'],['7 in'],['1/2 in'],['9/16 in'],['15/16 in'],['1-1/8 in'],['4-3/4 in'],['2-3/4 in'],['2-3/8 in'],['4-5/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
KSA-P2BA-TRB-1 3/8E,1 3/8 in,Imperial ,6-1/4 in,7 in,2-3/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,,['1 3/8 in'],['Imperial'],['Grease - Premium Industrial'],['Double Interlock Self-Aligning'],['Powder Coat'],['2-17/32 in'],['1-1/2 in'],['1-1/32 in'],['8 in'],['2-19/32 in'],['2-3/16 in'],['6-1/4 in'],['7 in'],['1/2 in'],['9/16 in'],['15/16 in'],['1-1/8 in'],['4-3/4 in'],['2-3/4 in'],['2-3/8 in'],['4-5/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['9/16 in']
