Part Number,Shaft Size,Shaft Size Type,Dimension L,Dimension A,C90 Dynamic Load Rating,Max. Speed,Lubrication,Housing Coating,CAD,Shaft Size,Shaft Size Type,UPC Code,Lubrication,Housing Coating,Dimension B,Dimension L,Dimension A,Dimension J Min.,Dimension J Max.,Bolt Diameter,Dimension N,Dimension N1,Dimension H1,Dimension H2,Dimension d1,Dimension H,e,X (if Fa/Fr ≤ e),Y (if Fa/Fr ≤ e),X (if Fa/Fr > e),Y (if Fa/Fr > e),K Factor,C90 Dynamic Load Rating1,C0 Static Load Rating,Fa-max Maximum Permissible Thrust Load2,Fr-max Maximum Allowable Slip Fit Radial Load3,Max. Speed4,Note,Type E Closed Cover Number,Dimension Ac,Dimension d2,Type E Open Cover Number
E-P2B-TRB-1 3/16,1 3/16 in,Imperial ,6 in,1-7/8 in,3810 lbf,4490 rpm,Grease - Premium Industrial ,E-Coat ,,['1 3/16 in'],['Imperial'],['053893605982'],['Grease - Premium Industrial'],['E-Coat'],['2-3/4 in'],['6 in'],['1-7/8 in'],['4-3/4 in'],['4-13/16 in'],['1/2 in'],['9/16 in'],['19/32 in'],['7/8 in'],['3 in'],['2-1/4 in'],['1-1/2 in'],['0.49'],['0.87'],['1.77'],['0.7'],['2.14'],['1.23'],['3810 lbf'],['15760 lbf'],['2000 lbf'],['3100 lbf'],['4490 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 3/16-SLA,1 3/16 in,Imperial ,6 in,1-7/8 in,3810 lbf,4490 rpm,Solid Lube - Industrial ,E-Coat ,,['1 3/16 in'],['Imperial'],,['Solid Lube - Industrial'],['E-Coat'],['2-3/4 in'],['6 in'],['1-7/8 in'],['4-3/4 in'],['4-13/16 in'],['1/2 in'],['9/16 in'],['19/32 in'],['7/8 in'],['3 in'],['2-1/4 in'],['1-1/2 in'],['0.49'],['0.87'],['1.77'],['0.7'],['2.14'],['1.23'],['3810 lbf'],['15760 lbf'],['2000 lbf'],['3100 lbf'],['4490 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 3/16-SLJ,1 3/16 in,Imperial ,6 in,1-7/8 in,3810 lbf,4490 rpm,Solid Lube - Food Grade ,E-Coat ,,['1 3/16 in'],['Imperial'],,['Solid Lube - Food Grade'],['E-Coat'],['2-3/4 in'],['6 in'],['1-7/8 in'],['4-3/4 in'],['4-13/16 in'],['1/2 in'],['9/16 in'],['19/32 in'],['7/8 in'],['3 in'],['2-1/4 in'],['1-1/2 in'],['0.49'],['0.87'],['1.77'],['0.7'],['2.14'],['1.23'],['3810 lbf'],['15760 lbf'],['2000 lbf'],['3100 lbf'],['4490 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 1/4,1 1/4 in,Imperial ,6 in,1-7/8 in,3810 lbf,4490 rpm,Grease - Premium Industrial ,E-Coat ,,['1 1/4 in'],['Imperial'],['053893606439'],['Grease - Premium Industrial'],['E-Coat'],['2-3/4 in'],['6 in'],['1-7/8 in'],['4-3/4 in'],['4-13/16 in'],['1/2 in'],['9/16 in'],['19/32 in'],['7/8 in'],['3 in'],['2-1/4 in'],['1-1/2 in'],['0.49'],['0.87'],['1.77'],['0.7'],['2.14'],['1.23'],['3810 lbf'],['15760 lbf'],['2000 lbf'],['3100 lbf'],['4490 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 1/4-SLA,1 1/4 in,Imperial ,6 in,1-7/8 in,3810 lbf,4490 rpm,Solid Lube - Industrial ,E-Coat ,,['1 1/4 in'],['Imperial'],,['Solid Lube - Industrial'],['E-Coat'],['2-3/4 in'],['6 in'],['1-7/8 in'],['4-3/4 in'],['4-13/16 in'],['1/2 in'],['9/16 in'],['19/32 in'],['7/8 in'],['3 in'],['2-1/4 in'],['1-1/2 in'],['0.49'],['0.87'],['1.77'],['0.7'],['2.14'],['1.23'],['3810 lbf'],['15760 lbf'],['2000 lbf'],['3100 lbf'],['4490 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 1/4-SLJ,1 1/4 in,Imperial ,6 in,1-7/8 in,3810 lbf,4490 rpm,Solid Lube - Food Grade ,E-Coat ,,['1 1/4 in'],['Imperial'],,['Solid Lube - Food Grade'],['E-Coat'],['2-3/4 in'],['6 in'],['1-7/8 in'],['4-3/4 in'],['4-13/16 in'],['1/2 in'],['9/16 in'],['19/32 in'],['7/8 in'],['3 in'],['2-1/4 in'],['1-1/2 in'],['0.49'],['0.87'],['1.77'],['0.7'],['2.14'],['1.23'],['3810 lbf'],['15760 lbf'],['2000 lbf'],['3100 lbf'],['4490 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 3/8,1 3/8 in,Imperial ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,E-Coat ,,['1 3/8 in'],['Imperial'],['053893606521'],['Grease - Premium Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 3/8-ECC,1 3/8 in,Imperial ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,E-Coat ,,['1 3/8 in'],['Imperial'],['0883450503914'],['Grease - Premium Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['EUC-B'],['3.12 in'],['3.345 in'],
E-P2B-TRB-1 3/8-ECO/ECC,1 3/8 in,Imperial ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,E-Coat ,,['1 3/8 in'],['Imperial'],['0883450505543'],['Grease - Premium Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['EUC-B'],['4.215 in'],['3.345 in'],['EUDR-1 3/8']
E-P2B-TRB-1 3/8-ECO/ECO,1 3/8 in,Imperial ,7-3/8 in,2-1/8 in,6100 lbf,3820 rpm,Grease - Premium Industrial ,E-Coat ,,['1 3/8 in'],['Imperial'],['0883450508773'],['Grease - Premium Industrial'],['E-Coat'],['3 in'],['7-3/8 in'],['2-1/8 in'],['5-5/8 in'],['5-7/8 in'],['1/2 in'],['5/8 in'],['3/4 in'],['1-1/8 in'],['3-3/4 in'],['2-3/4 in'],['1-7/8 in'],['0.46'],['0.87'],['1.89'],['0.7'],['2.28'],['1.31'],['6100 lbf'],['26000 lbf'],['2590 lbf'],['5000 lbf'],['3820 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,['4.315 in'],['3.345 in'],['EUDR-1 3/8']
