Part Number,Shaft Size d,Total Width,Static Load Rating,Dynamic Load Rating,Seal Type,Housing Construction,CAD,Series,Shaft Size d,Bearing Type,Bearing Number,Seal Type,Housing Construction,Alternate Part Name,Base to Center Height H,Total Length L,Total Width A,Bolt Hole Spacing J,Bolt Hole Width N,Bolt Hole Length N1,Foot Height H1,Total Height H2,Dimension d1,Dimension B1,Dimension S1,Dimension T,Static Load Rating,Dynamic Load Rating,Dimension A1
VAK 1/2,1/2 in,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1/2 in,Ball Bearing,GRA008RRB,Molded Shroud,Two-Bolt Pillow Block,VAK 1/2,26.99 mm/1.063 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,8.7 mm,53.2 mm/2.094 in,28.6 mm/1.126 in,28.6 mm/1.126 in,22.1 mm/0.87 in,15.1 mm/0.594 in,4700 N/1070 lbf,10700 N/2380 lbf,
VAS 1/2,1/2 in,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1/2 in,Ball Bearing,GRA008RRB,Molded Shroud,Two-Bolt Pillow Block,VAS 1/2,30.16 mm/1.187 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,11.9 mm,56.4 mm/2.22 in,28.6 mm/1.126 in,28.6 mm/1.126 in,22.1 mm/0.87 in,15.1 mm/0.594 in,4700 N/1070 lbf,10700 N/2380 lbf,
RAK 1/2,1/2 in,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1/2 in,Ball Bearing,G1008KRRB,Shroud Seal,Two-Bolt Pillow Block,RAK 1/2,26.99 mm/1.063 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,8.7 mm,53.2 mm/2.094 in,28.6 mm/1.126 in,37.3 mm/1.469 in,23.4 mm/0.921 in,15.1 mm/0.594 in,4700 N/1070 lbf,10700 N/2380 lbf,
LAK 1/2,1/2 in,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Labyrinth Seal ,Two-Bolt Pillow Block ,,Industrial,1/2 in,Ball Bearing,G1008KLLB,Labyrinth Seal,Two-Bolt Pillow Block,LAK 1/2,26.99 mm/1.063 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,8.7 mm,53.2 mm/2.094 in,28.6 mm/1.126 in,37.3 mm/1.469 in,23.4 mm/0.921 in,15.1 mm/0.594 in,4700 N/1070 lbf,10700 N/2380 lbf,
RAS 1/2,1/2 in,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1/2 in,Ball Bearing,G1008KRRB,Shroud Seal,Two-Bolt Pillow Block,RAS 1/2,30.16 mm/1.187 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,11.9 mm,56.4 mm/2.22 in,28.6 mm/1.126 in,37.3 mm/1.469 in,23.4 mm/0.921 in,15.1 mm/0.594 in,4700 N/1070 lbf,10700 N/2380 lbf,
RSA 1/2,1/2 in,31.8 mm / 1.252 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1/2 in,Ball Bearing,G1008KRRB,Shroud Seal,Two-Bolt Pillow Block,RSA 1/2,31.75 mm/1.25 in,122.2 mm/4.811 in,31.8 mm/1.252 in,96.8 mm/3.811 in,11.1 mm/0.437 in,14.3 mm/0.563 in,12.7 mm,58.7 mm/2.311 in,28.6 mm/1.126 in,37.3 mm/1.469 in,23.4 mm/0.921 in,15.9 mm/0.626 in,4700 N/1070 lbf,10700 N/2380 lbf,
RAK 1/2 NT,1/2 in,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1/2 in,Ball Bearing,G1008KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAK 1/2 NT,26.99 mm/1.063 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,8.7 mm,53.2 mm/2.094 in,28.6 mm/1.126 in,37.3 mm/1.469 in,23.4 mm/0.921 in,15.1 mm/0.594 in,4700 N/1070 lbf,10700 N/2380 lbf,
PBS 1/2,1/2 in,25.4 mm / 1 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Light-Duty,1/2 in,Ball Bearing,RA008RRB,Shroud Seal,Two-Bolt Pillow Block,PBS 1/2,30.2 mm/1.188 in,123.8 mm/4.875 in,25.4 mm/1 in,92.1 mm/3.625 in,10.3 mm/0.406 in,15.9 mm/0.625 in,2.6 mm/0.104 in,59.5 mm/2.344 in,28.6 mm/1.126 in,28.6 mm/1.126 in,22.1 mm/0.87 in,,4700 N/1070 lbf,10700 N/2380 lbf,1.9 mm/0.075 in
PB 1/2,1/2 in,25.4 mm / 1 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Light-Duty,1/2 in,Ball Bearing,RA008RRB,Shroud Seal,Two-Bolt Pillow Block,PB 1/2,22.2 mm/0.875 in,92.1 mm/3.625 in,25.4 mm/1 in,,8.7 mm/0.344 in,,2.54 mm/0.1 in,44.4 mm/1.75 in,28.6 mm/1.126 in,28.6 mm/1.126 in,22.1 mm/0.87 in,12.7 mm/0.5 in,4700 N/1070 lbf,10700 N/2380 lbf,
RPB 1/2,1/2 in,25.4 mm / 1 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Light-Duty,1/2 in,Ball Bearing,RA008RRB,Shroud Seal,Two-Bolt Pillow Block,RPB 1/2,25.4 mm/1 in,104.8 mm/4.125 in,25.4 mm/1 in,,10.3 mm/0.406 in,,2.54 mm/0.1 in,52.4 mm/2.063 in,28.6 mm/1.126 in,28.6 mm/1.126 in,22.1 mm/0.87 in,15.9 mm/0.625 in,4700 N/1070 lbf,10700 N/2380 lbf,
