Part Number,Shaft Size d,Total Width,Static Load Rating,Dynamic Load Rating,Seal Type,Housing Construction,CAD,Series,Shaft Size d,Bearing Type,Bearing Number,Seal Type,Housing Construction,Alternate Part Name,Base to Center Height H,Total Length L,Total Width A,Bolt Hole Spacing J,Bolt Hole Width N,Bolt Hole Length N1,Foot Height H1,Total Height H2,Inside Ring Width B,Dimension S1,Dimension F,Static Load Rating,Dynamic Load Rating
YAK 1/2,1/2 in,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1/2 in,Ball Bearing,GY1008KRRB,Shroud Seal,Two-Bolt Pillow Block,YAK1/2,26.99 mm/1.063 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,8.7 mm,53.2 mm/2.094 in,27.38 mm/1.078 in,15.88 mm/0.625 in,22.86 mm/0.9 in,4700 N/1070 lbf,10700 N/2380 lbf
SAK 1/2,1/2 in,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1/2 in,Ball Bearing,GYA008RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK1/2,26.99 mm/1.063 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,8.7 mm,53.2 mm/2.094 in,23.8 mm/0.9370 in,15.85 mm/0.624 in,24.6 mm/0.969 in,4700 N/1070 lbf,10700 N/2380 lbf
YAS 1/2,1/2 in,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1/2 in,Ball Bearing,GY1008KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS1/2,30.16 mm/1.187 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,11.9 mm,56.4 mm/2.22 in,27.38 mm/1.078 in,15.88 mm/0.625 in,22.86 mm/0.9 in,4700 N/1070 lbf,10700 N/2380 lbf
SAS 1/2,1/2 in,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1/2 in,Ball Bearing,GYA008RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS1/2,30.16 mm/1.187 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,11.9 mm,56.4 mm/2.22 in,23.8 mm/0.9370 in,15.85 mm/0.624 in,24.6 mm/0.969 in,4700 N/1070 lbf,10700 N/2380 lbf
YAK 5/8,5/8 in,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,5/8 in,Ball Bearing,GY1010KRRB,Shroud Seal,Two-Bolt Pillow Block,YAK5/8,26.99 mm/1.063 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,8.7 mm,53.2 mm/2.094 in,27.38 mm/1.078 in,15.88 mm/0.625 in,22.86 mm/0.9 in,4700 N/1070 lbf,10700 N/2380 lbf
SAK 5/8,5/8 in,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,5/8 in,Ball Bearing,GYA010RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK5/8,26.99 mm/1.063 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,8.7 mm,53.2 mm/2.094 in,23.8 mm/0.9370 in,15.85 mm/0.624 in,24.6 mm/0.969 in,4700 N/1070 lbf,10700 N/2380 lbf
YAS 5/8,5/8 in,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,5/8 in,Ball Bearing,GY1010KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS5/8,30.16 mm/1.187 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,11.9 mm,56.4 mm/2.22 in,27.38 mm/1.078 in,15.88 mm/0.625 in,22.86 mm/0.9 in,4700 N/1070 lbf,10700 N/2380 lbf
SAS 5/8,5/8 in,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,5/8 in,Ball Bearing,GYA010RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS5/8,30.16 mm/1.187 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,11.9 mm,56.4 mm/2.22 in,23.8 mm/0.9370 in,15.85 mm/0.624 in,24.6 mm/0.969 in,4700 N/1070 lbf,10700 N/2380 lbf
YAK 17,17 mm,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,17 mm,Ball Bearing,GYE17KRRB,Shroud Seal,Two-Bolt Pillow Block,YAK17,26.99 mm/1.063 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,8.7 mm,53.2 mm/2.094 in,27.38 mm/1.078 in,15.88 mm/0.625 in,22.86 mm/0.9 in,4700 N/1070 lbf,10700 N/2380 lbf
SAK 17,17 mm,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,17 mm,Ball Bearing,GYAE17RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK17,26.99 mm/1.063 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,8.7 mm,53.2 mm/2.094 in,23.8 mm/0.9370 in,15.85 mm/0.624 in,24.6 mm/0.969 in,4700 N/1070 lbf,10700 N/2380 lbf
YAS 17,17 mm,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,17 mm,Ball Bearing,GYE17KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS17,30.16 mm/1.187 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,11.9 mm,56.4 mm/2.22 in,27.38 mm/1.078 in,15.88 mm/0.625 in,22.86 mm/0.9 in,4700 N/1070 lbf,10700 N/2380 lbf
