Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,LinkToPart,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension KA,Dimension L,Dimension M,Dimension RA,Dimension SA,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QAP08A035S,22208 ,35 mm,1.88 in / 47.8 mm,4.69 in / 119.1 mm,6 in / 152.4 mm,22400 lbf / 99700 N,23400 lbf / 104000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap08a035s,Mounted Bearing,22208,35 mm,Metric,QAP08A035SB/QAP08A035SC/QAP08A035SEB/QAP08A035SEC/QAP08A035SEM/QAP08A035SEN/QAP08A035SEO/QAP08A035SET/QAP08A035SM/QAP08A035SN/QAP08A035SO/QAP08A035ST,Single Concentric,Two-Bolt Pillow Block,0883450403092/0883450403108/0883450403115/0883450403122/0883450403139/0883450403146/0883450403153/0883450403160/0883450403177/0883450403184/0883450403191/0883450403207,1.88 in/47.8 mm,3.73 in/94.7 mm,2.38 in/60.5 mm,4.69 in/119.1 mm,6 in/152.4 mm,6.88 in/174.8 mm,2.25 in/57.2 mm,1 in/25.4 mm,0.5 in/12 mm,1 in/25.4 mm,2.88 in/73.2 mm,1.75 in/44.5 mm,0.13 in/3.3 mm,2.75 in/69.9 mm,22400 lbf/99700 N,23400 lbf/104000 N,0.27,2.47,3.67,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0010 in/0.025 mm,0.0012,0.0018,0.0012 in/0.030 mm,0.0018 in/0.045 mm
QAPL08A035S,22208 ,35 mm,1.88 in / 47.8 mm,4.69 in / 119.1 mm,6 in / 152.4 mm,22400 lbf / 99700 N,23400 lbf / 104000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapl08a035s,Mounted Bearing,22208,35 mm,Metric,QAPL08A035SB/QAPL08A035SC/QAPL08A035SEB/QAPL08A035SEC/QAPL08A035SEM/QAPL08A035SEN/QAPL08A035SEO/QAPL08A035SET/QAPL08A035SM/QAPL08A035SN/QAPL08A035SO/QAPL08A035ST,Single Concentric,Two-Bolt Pillow Block,883450403450/883450403467/883450403474/883450403481/883450403498/883450403504/883450403511/883450403528/883450403535/883450403542/883450403559/883450403566,1.88 in/47.8 mm,3.73 in/94.7 mm,2.38 in/60.5 mm,4.69 in/119.1 mm,6 in/152.4 mm,6.88 in/174.8 mm,2.25 in/57.2 mm,1 in/25.4 mm,0.5 in/12 mm,1 in/25.4 mm,2.88 in/73.2 mm,1.75 in/44.5 mm,0.13 in/3.3 mm,2.75 in/69.9 mm,22400 lbf/99700 N,23400 lbf/104000 N,0.27,2.47,3.67,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0010 in/0.025 mm,0.0012,0.0018,0.0012 in/0.030 mm,0.0018 in/0.045 mm
QASN08A035S,22208 ,35 mm,2.36 in / 60 mm,6.26 in / 159 mm,6.89 in / 175 mm,22400 lbf / 99700 N,23400 lbf / 104000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qasn08a035s,Mounted Bearing,22208,35 mm,Metric,QASN08A035SB/QASN08A035SC/QASN08A035SEB/QASN08A035SEC/QASN08A035SEM/QASN08A035SEN/QASN08A035SEO/QASN08A035SET/QASN08A035SM/QASN08A035SN/QASN08A035SO/QASN08A035ST,Single Concentric,Two-Bolt Pillow Block,883450403818/883450403825/883450403832/883450403849/883450403856/883450403863/883450403870/883450403887/883450403894/883450403900/883450403917/883450403924,2.36 in/60 mm,4.37 in/111 mm,2.38 in/60.5 mm,6.26 in/159 mm,6.89 in/175 mm,8.07 in/205 mm,2.44 in/62 mm,1.38 in/35 mm,0.5 in/12 mm,1 in/25.4 mm,2.95 in/73.2 mm,1.75 in/44.5 mm,0.20 in/5 mm,2.75 in/70 mm,22400 lbf/99700 N,23400 lbf/104000 N,0.27,2.47,3.67,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0010 in/0.025 mm,0.0012,0.0018,0.0012 in/0.030 mm,0.0018 in/0.045 mm
QAPMD08A035S,22208 ,35 mm,2.13 in / 54.1 mm,5.18 in / 131.6 mm,5.88 in / 149.4 mm,22400 lbf / 99700 N,23400 lbf / 104000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapmd08a035s,Mounted Bearing,22208,35 mm,Metric,,Single Concentric,Two-Bolt Pillow Block,,2.13 in/54.1 mm,4.35 in/110.5 mm,2.38 in/60.5 mm,5.18 in/131.6 mm,5.88 in/149.4 mm,7-1/4 in/184.2 mm,2.25 in/57.2 mm,1 in/25.4 mm,0.5 in/12 mm,1 in/25.4 mm,2.88 in/73.2 mm,1.75 in/44.5 mm,0.13 in/3.3 mm,2.75 in/69.9 mm,22400 lbf/99700 N,23400 lbf/104000 N,0.27,2.47,3.67,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0010 in/0.025 mm,0.0012,0.0018,0.0012 in/0.030 mm,0.0018 in/0.045 mm
QAP08A035S - Stainless,22208 ,35 mm,1.88 in / 47.8 mm,4.69 in / 119.1 mm,6 in / 152.4 mm,22400 lbf / 99700 N,23400 lbf / 104000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap08a035s-stainless,Mounted Bearing,22208,35 mm,Metric,QAP08A035SBSS/QAP08A035SCSS/QAP08A035SEBSS/QAP08A035SECSS/QAP08A035SEMSS/QAP08A035SENSS/QAP08A035SEOSS/QAP08A035SETSS/QAP08A035SMSS/QAP08A035SNSS/QAP08A035SOSS/QAP08A035STSS,Single Concentric,Two-Bolt Pillow Block,883450700047/883450700054/883450700061/883450700078/883450700085/883450700092/883450700108/883450700115/883450700122/883450700139/883450700146/883450700153,1.88 in/47.8 mm,3.73 in/94.7 mm,2.38 in/60.5 mm,4.69 in/119.1 mm,6 in/152.4 mm,6.88 in/174.8 mm,2.25 in/57.2 mm,1 in/25.4 mm,0.5 in/12 mm,1 in/25.4 mm,2.88 in/73.2 mm,1.75 in/44.5 mm,0.13 in/3.3 mm,2.75 in/69.9 mm,22400 lbf/99700 N,23400 lbf/104000 N,0.27,2.47,3.67,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0010 in/0.025 mm,0.0012,0.0018,0.0012 in/0.030 mm,0.0018 in/0.045 mm
QAP08A107S,22208 ,1 7/16 in,1.88 in / 47.8 mm,4.69 in / 119.1 mm,6 in / 152.4 mm,22400 lbf / 99700 N,23400 lbf / 104000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap08a107s,Mounted Bearing,22208,1 7/16 in,Imperial,QAP08A107SB/QAP08A107SC/QAP08A107SEB/QAP08A107SEC/QAP08A107SEM/QAP08A107SEN/QAP08A107SEO/QAP08A107SET/QAP08A107SM/QAP08A107SMFG/QAP08A107SMNP/QAP08A107SN/QAP08A107SO/QAP08A107ST/QAP08A107STHT,Single Concentric,Two-Bolt Pillow Block,0883450403214/0883450403221/0883450403238/0883450403245/0883450403252/0883450403269/0883450403276/0883450403283/0883450403290/0883450403306/0883450403313/0883450403320/0883450459075/0883450473446/0883450492669,1.88 in/47.8 mm,3.73 in/94.7 mm,2.38 in/60.5 mm,4.69 in/119.1 mm,6 in/152.4 mm,6.88 in/174.8 mm,2.25 in/57.2 mm,1 in/25.4 mm,0.5 in/12 mm,1 in/25.4 mm,2.88 in/73.2 mm,1.75 in/44.5 mm,0.13 in/3.3 mm,2.75 in/69.9 mm,22400 lbf/99700 N,23400 lbf/104000 N,0.27,2.47,3.67,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0010 in/0.025 mm,0.0012,0.0018,0.0012 in/0.030 mm,0.0018 in/0.045 mm
QAPL08A107S,22208 ,1 7/16 in,1.88 in / 47.8 mm,4.69 in / 119.1 mm,6 in / 152.4 mm,22400 lbf / 99700 N,23400 lbf / 104000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapl08a107s,Mounted Bearing,22208,1 7/16 in,Imperial,QAPL08A107SB/QAPL08A107SC/QAPL08A107SEB/QAPL08A107SEC/QAPL08A107SEM/QAPL08A107SEN/QAPL08A107SEO/QAPL08A107SET/QAPL08A107SM/QAPL08A107SN/QAPL08A107SO/QAPL08A107ST,Single Concentric,Two-Bolt Pillow Block,883450403573/883450403580/883450403597/883450403603/883450403610/883450403627/883450403634/883450403641/883450403658/883450403665/883450403672/883450403689,1.88 in/47.8 mm,3.73 in/94.7 mm,2.38 in/60.5 mm,4.69 in/119.1 mm,6 in/152.4 mm,6.88 in/174.8 mm,2.25 in/57.2 mm,1 in/25.4 mm,0.5 in/12 mm,1 in/25.4 mm,2.88 in/73.2 mm,1.75 in/44.5 mm,0.13 in/3.3 mm,2.75 in/69.9 mm,22400 lbf/99700 N,23400 lbf/104000 N,0.27,2.47,3.67,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0010 in/0.025 mm,0.0012,0.0018,0.0012 in/0.030 mm,0.0018 in/0.045 mm
QASN08A107S,22208 ,1 7/16 in,2.36 in / 60 mm,6.26 in / 159 mm,6.89 in / 175 mm,22400 lbf / 99700 N,23400 lbf / 104000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qasn08a107s,Mounted Bearing,22208,1 7/16 in,Imperial,QASN08A107SB/QASN08A107SC/QASN08A107SEB/QASN08A107SEC/QASN08A107SEM/QASN08A107SEN/QASN08A107SEO/QASN08A107SET/QASN08A107SM/QASN08A107SN/QASN08A107SO/QASN08A107ST,Single Concentric,Two-Bolt Pillow Block,883450403931/883450403948/883450403955/883450403962/883450403979/883450403986/883450403993/883450404006/883450404013/883450404020/883450404037/883450404044,2.36 in/60 mm,4.37 in/111 mm,2.38 in/60.5 mm,6.26 in/159 mm,6.89 in/175 mm,8.07 in/205 mm,2.44 in/62 mm,1.38 in/35 mm,0.5 in/12 mm,1 in/25.4 mm,2.95 in/73.2 mm,1.75 in/44.5 mm,0.20 in/5 mm,2.75 in/70 mm,22400 lbf/99700 N,23400 lbf/104000 N,0.27,2.47,3.67,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0010 in/0.025 mm,0.0012,0.0018,0.0012 in/0.030 mm,0.0018 in/0.045 mm
QAPMD08A107S,22208 ,1 7/16 in,2.13 in / 54.1 mm,5.18 in / 131.6 mm,5.88 in / 149.4 mm,22400 lbf / 99700 N,23400 lbf / 104000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapmd08a107s,Mounted Bearing,22208,1 7/16 in,Imperial,,Single Concentric,Two-Bolt Pillow Block,,2.13 in/54.1 mm,4.35 in/110.5 mm,2.38 in/60.5 mm,5.18 in/131.6 mm,5.88 in/149.4 mm,7-1/4 in/184.2 mm,2.25 in/57.2 mm,1 in/25.4 mm,0.5 in/12 mm,1 in/25.4 mm,2.88 in/73.2 mm,1.75 in/44.5 mm,0.13 in/3.3 mm,2.75 in/69.9 mm,22400 lbf/99700 N,23400 lbf/104000 N,0.27,2.47,3.67,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0010 in/0.025 mm,0.0012,0.0018,0.0012 in/0.030 mm,0.0018 in/0.045 mm
QAP08A107S - Stainless,22208 ,1 7/16 in,1.88 in / 47.8 mm,4.69 in / 119.1 mm,6 in / 152.4 mm,22400 lbf / 99700 N,23400 lbf / 104000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap08a107s-stainless,Mounted Bearing,22208,1 7/16 in,Imperial,QAP08A107SBSS/QAP08A107SCSS/QAP08A107SEBSS/QAP08A107SECSS/QAP08A107SEMSS/QAP08A107SENSS/QAP08A107SEOSS/QAP08A107SETSS/QAP08A107SMSS/QAP08A107SNSS/QAP08A107SOSS/QAP08A107STSS,Single Concentric,Two-Bolt Pillow Block,883450700160/883450700177/883450700184/883450700191/883450700207/883450700214/883450700221/883450700238/883450700245/883450700252/883450700269/883450700276,1.88 in/47.8 mm,3.73 in/94.7 mm,2.38 in/60.5 mm,4.69 in/119.1 mm,6 in/152.4 mm,6.88 in/174.8 mm,2.25 in/57.2 mm,1 in/25.4 mm,0.5 in/12 mm,1 in/25.4 mm,2.88 in/73.2 mm,1.75 in/44.5 mm,0.13 in/3.3 mm,2.75 in/69.9 mm,22400 lbf/99700 N,23400 lbf/104000 N,0.27,2.47,3.67,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0010 in/0.025 mm,0.0012,0.0018,0.0012 in/0.030 mm,0.0018 in/0.045 mm
