Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension M,Dimension RAA,Dimension SAA,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QAAP10A115S,22210 ,1 15/16 in,2.25 in / 57.2 mm,6 in / 152.4 mm,7.13 in / 181.1 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['1 15/16 in'],['Imperial'],"['QAAP10A115SB', 'QAAP10A115SC', 'QAAP10A115SEB', 'QAAP10A115SEC', 'QAAP10A115SEM', 'QAAP10A115SEN', 'QAAP10A115SEO', 'QAAP10A115SET', 'QAAP10A115SM', 'QAAP10A115SN', 'QAAP10A115SO', 'QAAP10A115ST', 'QAAP10A115STHT']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450025300', '0883450025317', '0883450025331', '0883450025348', '0883450025355', '0883450025362', '0883450025379', '0883450025386', '0883450188142', '0883450188302', '0883450265645', '0883450265805', '0883450472395']","['2.25 in', '57.2 mm']","['4.81 in', '122.2 mm']","['2.88 in', '73.2 mm']","['6 in', '152.4 mm']","['7.13 in', '181.1 mm']","['8.88 in', '225.6 mm']","['2.44 in', '62 mm']","['1.25 in', '31.8 mm']","['0.625 in', '16 mm']","['3.11 in', '79 mm']","['1.87 in', '47.5 mm']","['0.67 in', '17 mm']","['3.75 in', '95.3 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPL10A115S,22210 ,1 15/16 in,2.25 in / 57.2 mm,5.93 in / 150.6 mm,6.36 in / 161.5 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['1 15/16 in'],['Imperial'],"['QAAPL10A115SB', 'QAAPL10A115SC', 'QAAPL10A115SEB', 'QAAPL10A115SEC', 'QAAPL10A115SEM', 'QAAPL10A115SEN', 'QAAPL10A115SEO', 'QAAPL10A115SET', 'QAAPL10A115SM', 'QAAPL10A115SN', 'QAAPL10A115SO', 'QAAPL10A115ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450028202', '0883450028219', '0883450028233', '0883450028240', '0883450028257', '0883450028264', '0883450028271', '0883450028288', '0883450188784', '0883450188944', '0883450266284', '0883450266444']","['2.25 in', '57.2 mm']","['4.81 in', '122.2 mm']","['2.88 in', '73.2 mm']","['5.93 in', '150.6 mm']","['6.36 in', '161.5 mm']","['8.38 in', '212.9 mm']","['2.44 in', '62 mm']","['1.25 in', '31.8 mm']","['0.625 in', '16 mm']","['3.11 in', '79 mm']","['1.87 in', '47.5 mm']","['0.67 in', '17 mm']","['3.75 in', '95.3 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAASN10A115S,22210 ,1 15/16 in,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['1 15/16 in'],['Imperial'],"['QAASN10A115SB', 'QAASN10A115SC', 'QAASN10A115SEB', 'QAASN10A115SEC', 'QAASN10A115SEM', 'QAASN10A115SEN', 'QAASN10A115SEO', 'QAASN10A115SET', 'QAASN10A115SM', 'QAASN10A115SN', 'QAASN10A115SO', 'QAASN10A115ST', 'QAASN10A115STNG']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450348515', '0883450348522', '0883450348539', '0883450348546', '0883450348553', '0883450348560', '0883450348577', '0883450348584', '0883450348591', '0883450348607', '0883450348614', '0883450348621', '0883450491822']","['2.76 in', '70 mm']","['5.35 in', '136 mm']","['2.87 in', '73 mm']","['7.2 in', '183 mm']","['8.5 in', '216 mm']","['10 in', '254 mm']","['2.68 in', '68 mm']","['0.98 in', '25 mm']","['0.625 in', '16 mm']","['3.23 in', '82 mm']","['1.87 in', '47.5 mm']","['0.55 in', '14 mm']","['3.75 in', '95.3 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPMD10A115S,22210 ,1 15/16 in,2.5 in / 63.5 mm,6.38 in / 162.1 mm,7.44 in / 189 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['1 15/16 in'],['Imperial'],,['Double Concentric'],['Two-Bolt Pillow Block'],,"['2.5 in', '63.5 mm']","['5 in', '127 mm']","['2.88 in', '73.2 mm']","['6.38 in', '162.1 mm']","['7.44 in', '189 mm']","['8.88 in', '225.6 mm']","['2.44 in', '62 mm']","['1.25 in', '31.8 mm']","['0.625 in', '16 mm']","['3.11 in', '79 mm']","['1.87 in', '47.5 mm']","['0.67 in', '17 mm']","['3.75 in', '95.3 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAP10A050S,22210 ,50 mm,2.25 in / 57.2 mm,6 in / 152.4 mm,7.13 in / 181.1 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['50 mm'],['Metric'],"['QAAP10A050SB', 'QAAP10A050SC', 'QAAP10A050SEB', 'QAAP10A050SEC', 'QAAP10A050SEM', 'QAAP10A050SEN', 'QAAP10A050SEO', 'QAAP10A050SET', 'QAAP10A050SM', 'QAAP10A050SN', 'QAAP10A050SO', 'QAAP10A050ST', 'QAAP10A050STFG']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450025201', '0883450025218', '0883450025232', '0883450025249', '0883450025256', '0883450025263', '0883450025270', '0883450025287', '0883450188166', '0883450188326', '0883450265669', '0883450265829', '0883450458528']","['2.25 in', '57.2 mm']","['4.81 in', '122.2 mm']","['2.88 in', '73.2 mm']","['6 in', '152.4 mm']","['7.13 in', '181.1 mm']","['8.88 in', '225.6 mm']","['2.44 in', '62 mm']","['1.25 in', '31.8 mm']","['0.625 in', '16 mm']","['3.11 in', '79 mm']","['1.87 in', '47.5 mm']","['0.67 in', '17 mm']","['3.75 in', '95.3 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPL10A050S,22210 ,50 mm,2.25 in / 57.2 mm,5.93 in / 150.6 mm,6.36 in / 161.5 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['50 mm'],['Metric'],"['QAAPL10A050SB', 'QAAPL10A050SC', 'QAAPL10A050SEB', 'QAAPL10A050SEC', 'QAAPL10A050SEM', 'QAAPL10A050SEN', 'QAAPL10A050SEO', 'QAAPL10A050SET', 'QAAPL10A050SM', 'QAAPL10A050SN', 'QAAPL10A050SO', 'QAAPL10A050ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450028103', '0883450028110', '0883450028134', '0883450028141', '0883450028158', '0883450028165', '0883450028172', '0883450028189', '0883450188807', '0883450188968', '0883450266307', '0883450266468']","['2.25 in', '57.2 mm']","['4.81 in', '122.2 mm']","['2.88 in', '73.2 mm']","['5.93 in', '150.6 mm']","['6.36 in', '161.5 mm']","['8.38 in', '212.9 mm']","['2.44 in', '62 mm']","['1.25 in', '31.8 mm']","['0.625 in', '16 mm']","['3.11 in', '79 mm']","['1.87 in', '47.5 mm']","['0.67 in', '17 mm']","['3.75 in', '95.3 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAASN10A050S,22210 ,50 mm,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['50 mm'],['Metric'],"['QAASN10A050SB', 'QAASN10A050SC', 'QAASN10A050SEB', 'QAASN10A050SEC', 'QAASN10A050SEM', 'QAASN10A050SEN', 'QAASN10A050SEO', 'QAASN10A050SET', 'QAASN10A050SM', 'QAASN10A050SN', 'QAASN10A050SO', 'QAASN10A050ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450348393', '0883450348409', '0883450348416', '0883450348423', '0883450348430', '0883450348447', '0883450348454', '0883450348461', '0883450348478', '0883450348485', '0883450348492', '0883450348508']","['2.76 in', '70 mm']","['5.35 in', '136 mm']","['2.87 in', '73 mm']","['7.2 in', '183 mm']","['8.5 in', '216 mm']","['10 in', '254 mm']","['2.68 in', '68 mm']","['0.98 in', '25 mm']","['0.625 in', '16 mm']","['3.23 in', '82 mm']","['1.87 in', '47.5 mm']","['0.55 in', '14 mm']","['3.75 in', '95.3 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPMD10A050S,22210 ,50 mm,2.5 in / 63.5 mm,6.38 in / 162.1 mm,7.44 in / 189 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['50 mm'],['Metric'],,['Double Concentric'],['Two-Bolt Pillow Block'],,"['2.5 in', '63.5 mm']","['5 in', '127 mm']","['2.88 in', '73.2 mm']","['6.38 in', '162.1 mm']","['7.44 in', '189 mm']","['8.88 in', '225.6 mm']","['2.44 in', '62 mm']","['1.25 in', '31.8 mm']","['0.625 in', '16 mm']","['3.11 in', '79 mm']","['1.87 in', '47.5 mm']","['0.67 in', '17 mm']","['3.75 in', '95.3 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAP10A200S,22210 ,2 in,2.25 in / 57.2 mm,6 in / 152.4 mm,7.13 in / 181.1 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['2 in'],['Imperial'],"['QAAP10A200SB', 'QAAP10A200SC', 'QAAP10A200SEB', 'QAAP10A200SEC', 'QAAP10A200SEM', 'QAAP10A200SEN', 'QAAP10A200SEO', 'QAAP10A200SET', 'QAAP10A200SM', 'QAAP10A200SN', 'QAAP10A200SO', 'QAAP10A200ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450025409', '0883450025416', '0883450025430', '0883450025447', '0883450025454', '0883450025461', '0883450025478', '0883450025485', '0883450188159', '0883450188319', '0883450265652', '0883450265812']","['2.25 in', '57.2 mm']","['4.81 in', '122.2 mm']","['2.88 in', '73.2 mm']","['6 in', '152.4 mm']","['7.13 in', '181.1 mm']","['8.88 in', '225.6 mm']","['2.44 in', '62 mm']","['1.25 in', '31.8 mm']","['0.625 in', '16 mm']","['3.11 in', '79 mm']","['1.87 in', '47.5 mm']","['0.67 in', '17 mm']","['3.75 in', '95.3 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPL10A200S,22210 ,2 in,2.25 in / 57.2 mm,5.93 in / 150.6 mm,6.36 in / 161.5 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['2 in'],['Imperial'],"['QAAPL10A200SB', 'QAAPL10A200SC', 'QAAPL10A200SEB', 'QAAPL10A200SEC', 'QAAPL10A200SEM', 'QAAPL10A200SEN', 'QAAPL10A200SEO', 'QAAPL10A200SET', 'QAAPL10A200SM', 'QAAPL10A200SN', 'QAAPL10A200SO', 'QAAPL10A200ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450028301', '0883450028318', '0883450028332', '0883450028349', '0883450028356', '0883450028363', '0883450028370', '0883450028387', '0883450188791', '0883450188951', '0883450266291', '0883450266451']","['2.25 in', '57.2 mm']","['4.81 in', '122.2 mm']","['2.88 in', '73.2 mm']","['5.93 in', '150.6 mm']","['6.36 in', '161.5 mm']","['8.38 in', '212.9 mm']","['2.44 in', '62 mm']","['1.25 in', '31.8 mm']","['0.625 in', '16 mm']","['3.11 in', '79 mm']","['1.87 in', '47.5 mm']","['0.67 in', '17 mm']","['3.75 in', '95.3 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
