Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension M,Dimension RAA,Dimension SAA,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QAAPF13A060S,22213 ,60 mm,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,['Mounted Bearing'],['22213'],['60 mm'],['Metric'],"['QAAPF13A060SB', 'QAAPF13A060SC', 'QAAPF13A060SEB', 'QAAPF13A060SEC', 'QAAPF13A060SEM', 'QAAPF13A060SEN', 'QAAPF13A060SEO', 'QAAPF13A060SET', 'QAAPF13A060SM', 'QAAPF13A060SN', 'QAAPF13A060SO', 'QAAPF13A060ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450319737', '0883450319744', '0883450319751', '0883450319768', '0883450319775', '0883450319782', '0883450319799', '0883450319805', '0883450319812', '0883450319829', '0883450319836', '0883450319843']","['2.75 in', '69.9 mm']","['5.8 in', '147.3 mm']","['3.81 in', '96.8 mm']","['6.88 in', '174.8 mm']","['7.63 in', '193.8 mm']","['1.75 in', '44.5 mm']","['9.25 in', '235 mm']","['3 in', '76.2 mm']","['0.98 in', '24.9 mm']","['0.625 in', '16 mm']","['3.65 in', '92.7 mm']","['2.15 in', '54.6 mm']","['0.7 in', '17.8 mm']","['4.3 in', '109.2 mm']","['48600 lbf', '216000 N']","['46400 lbf', '206000 N']",['0.24'],['2.79'],['4.15'],['1800 rpm'],['3200 rpm'],['1500 rpm'],['1800 rpm'],['2800 rpm'],['1500 rpm'],"['0.083 in', '2.108 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPR13A060S,22213 ,60 mm,2.75 in / 69.9 mm,7.13 in / 181.1 mm,8.75 in / 222.3 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,['Mounted Bearing'],['22213'],['60 mm'],['Metric'],"['QAAPR13A060SB', 'QAAPR13A060SC', 'QAAPR13A060SEB', 'QAAPR13A060SEC', 'QAAPR13A060SEM', 'QAAPR13A060SEN', 'QAAPR13A060SEO', 'QAAPR13A060SET', 'QAAPR13A060SM', 'QAAPR13A060SN', 'QAAPR13A060SO', 'QAAPR13A060ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450321532', '0883450321549', '0883450321556', '0883450321563', '0883450321570', '0883450321587', '0883450321594', '0883450321600', '0883450321617', '0883450321624', '0883450321631', '0883450321648']","['2.75 in', '69.9 mm']","['5.8 in', '147.3 mm']","['3.81 in', '96.8 mm']","['7.13 in', '181.1 mm']","['8.75 in', '222.3 mm']","['1.88 in', '47.8 mm']","['10.25 in', '260.4 mm']","['3.25 in', '82.6 mm']","['0.98 in', '24.9 mm']","['0.625 in', '16 mm']","['3.77 in', '95.8 mm']","['2.15 in', '54.6 mm']","['0.7 in', '17.8 mm']","['4.3 in', '109.2 mm']","['48600 lbf', '216000 N']","['46400 lbf', '206000 N']",['0.24'],['2.79'],['4.15'],['1800 rpm'],['3200 rpm'],['1500 rpm'],['1800 rpm'],['2800 rpm'],['1500 rpm'],"['0.083 in', '2.108 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPX13A060S,22213 ,60 mm,3 in / 76.2 mm,6.94 in / 176.3 mm,9.56 in / 242.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,['Mounted Bearing'],['22213'],['60 mm'],['Metric'],"['QAAPX13A060SB', 'QAAPX13A060SC', 'QAAPX13A060SEB', 'QAAPX13A060SEC', 'QAAPX13A060SEM', 'QAAPX13A060SEN', 'QAAPX13A060SEO', 'QAAPX13A060SET', 'QAAPX13A060SM', 'QAAPX13A060SN', 'QAAPX13A060SO', 'QAAPX13A060ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450304061', '0883450304078', '0883450304085', '0883450304092', '0883450304108', '0883450304115', '0883450304122', '0883450304139', '0883450304146', '0883450304153', '0883450304160', '0883450304177']","['3 in', '76.2 mm']","['6.05 in', '153.7 mm']","['3.81 in', '96.8 mm']","['6.94 in', '176.3 mm']","['9.56 in', '242.8 mm']","['2.63 in', '66.8 mm']","['11.25 in', '285.8 mm']","['3.88 in', '98.6 mm']","['1.22 in', '31 mm']","['0.625 in', '16 mm']","['4.09 in', '103.9 mm']","['2.15 in', '54.6 mm']","['0.7 in', '17.8 mm']","['4.3 in', '109.2 mm']","['48600 lbf', '216000 N']","['46400 lbf', '206000 N']",['0.24'],['2.79'],['4.15'],['1800 rpm'],['3200 rpm'],['1500 rpm'],['1800 rpm'],['2800 rpm'],['1500 rpm'],"['0.083 in', '2.108 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPF13A207S,22213 ,2 7/16 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,['Mounted Bearing'],['22213'],['2 7/16 in'],['Imperial'],"['QAAPF13A207SB', 'QAAPF13A207SC', 'QAAPF13A207SEB', 'QAAPF13A207SEC', 'QAAPF13A207SEM', 'QAAPF13A207SEN', 'QAAPF13A207SEO', 'QAAPF13A207SET', 'QAAPF13A207SM', 'QAAPF13A207SN', 'QAAPF13A207SO', 'QAAPF13A207ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450026901', '0883450026918', '0883450026932', '0883450026949', '0883450026956', '0883450026963', '0883450026970', '0883450026987', '0883450189484', '0883450189613', '0883450266826', '0883450266963']","['2.75 in', '69.9 mm']","['5.8 in', '147.3 mm']","['3.81 in', '96.8 mm']","['6.88 in', '174.8 mm']","['7.63 in', '193.8 mm']","['1.75 in', '44.5 mm']","['9.25 in', '235 mm']","['3 in', '76.2 mm']","['0.98 in', '24.9 mm']","['0.625 in', '16 mm']","['3.65 in', '92.7 mm']","['2.15 in', '54.6 mm']","['0.7 in', '17.8 mm']","['4.3 in', '109.2 mm']","['48600 lbf', '216000 N']","['46400 lbf', '206000 N']",['0.24'],['2.79'],['4.15'],['1800 rpm'],['3200 rpm'],['1500 rpm'],['1800 rpm'],['2800 rpm'],['1500 rpm'],"['0.083 in', '2.108 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPR13A207S,22213 ,2 7/16 in,2.75 in / 69.9 mm,7.13 in / 181.1 mm,8.75 in / 222.3 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,['Mounted Bearing'],['22213'],['2 7/16 in'],['Imperial'],"['QAAPR13A207SB', 'QAAPR13A207SC', 'QAAPR13A207SEB', 'QAAPR13A207SEC', 'QAAPR13A207SEM', 'QAAPR13A207SEN', 'QAAPR13A207SEO', 'QAAPR13A207SET', 'QAAPR13A207SM', 'QAAPR13A207SN', 'QAAPR13A207SO', 'QAAPR13A207ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450029803', '0883450029810', '0883450029834', '0883450029841', '0883450029858', '0883450029865', '0883450029872', '0883450029889', '0883450189965', '0883450190077', '0883450267328', '0883450267434']","['2.75 in', '69.9 mm']","['5.8 in', '147.3 mm']","['3.81 in', '96.8 mm']","['7.13 in', '181.1 mm']","['8.75 in', '222.3 mm']","['1.88 in', '47.8 mm']","['10.25 in', '260.4 mm']","['3.25 in', '82.6 mm']","['0.98 in', '24.9 mm']","['0.625 in', '16 mm']","['3.77 in', '95.8 mm']","['2.15 in', '54.6 mm']","['0.7 in', '17.8 mm']","['4.3 in', '109.2 mm']","['48600 lbf', '216000 N']","['46400 lbf', '206000 N']",['0.24'],['2.79'],['4.15'],['1800 rpm'],['3200 rpm'],['1500 rpm'],['1800 rpm'],['2800 rpm'],['1500 rpm'],"['0.083 in', '2.108 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPX13A207S,22213 ,2 7/16 in,3 in / 76.2 mm,6.94 in / 176.3 mm,9.56 in / 242.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,['Mounted Bearing'],['22213'],['2 7/16 in'],['Imperial'],"['QAAPX13A207SB', 'QAAPX13A207SC', 'QAAPX13A207SEB', 'QAAPX13A207SEC', 'QAAPX13A207SEM', 'QAAPX13A207SEN', 'QAAPX13A207SEO', 'QAAPX13A207SET', 'QAAPX13A207SM', 'QAAPX13A207SN', 'QAAPX13A207SO', 'QAAPX13A207ST', 'QAAPX13A207STHT']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450005944', '0883450006019', '0883450006040', '0883450006118', '0883450006149', '0883450006217', '0883450006248', '0883450006316', '0883450006347', '0883450006415', '0883450267540', '0883450267762', '0883450475952']","['3 in', '76.2 mm']","['6.05 in', '153.7 mm']","['3.81 in', '96.8 mm']","['6.94 in', '176.3 mm']","['9.56 in', '242.8 mm']","['2.63 in', '66.8 mm']","['11.25 in', '285.8 mm']","['3.88 in', '98.6 mm']","['1.22 in', '31 mm']","['0.625 in', '16 mm']","['4.09 in', '103.9 mm']","['2.15 in', '54.6 mm']","['0.7 in', '17.8 mm']","['4.3 in', '109.2 mm']","['48600 lbf', '216000 N']","['46400 lbf', '206000 N']",['0.24'],['2.79'],['4.15'],['1800 rpm'],['3200 rpm'],['1500 rpm'],['1800 rpm'],['2800 rpm'],['1500 rpm'],"['0.083 in', '2.108 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPF13A208S,22213 ,2 1/2 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,['Mounted Bearing'],['22213'],['2 1/2 in'],['Imperial'],"['QAAPF13A208SB', 'QAAPF13A208SC', 'QAAPF13A208SEB', 'QAAPF13A208SEC', 'QAAPF13A208SEM', 'QAAPF13A208SEN', 'QAAPF13A208SEO', 'QAAPF13A208SET', 'QAAPF13A208SM', 'QAAPF13A208SN', 'QAAPF13A208SO', 'QAAPF13A208ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450027007', '0883450027014', '0883450027038', '0883450027045', '0883450027052', '0883450027069', '0883450027076', '0883450027083', '0883450189491', '0883450189620', '0883450266833', '0883450266970']","['2.75 in', '69.9 mm']","['5.8 in', '147.3 mm']","['3.81 in', '96.8 mm']","['6.88 in', '174.8 mm']","['7.63 in', '193.8 mm']","['1.75 in', '44.5 mm']","['9.25 in', '235 mm']","['3 in', '76.2 mm']","['0.98 in', '24.9 mm']","['0.625 in', '16 mm']","['3.65 in', '92.7 mm']","['2.15 in', '54.6 mm']","['0.7 in', '17.8 mm']","['4.3 in', '109.2 mm']","['48600 lbf', '216000 N']","['46400 lbf', '206000 N']",['0.24'],['2.79'],['4.15'],['1800 rpm'],['3200 rpm'],['1500 rpm'],['1800 rpm'],['2800 rpm'],['1500 rpm'],"['0.083 in', '2.108 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPR13A208S,22213 ,2 1/2 in,2.75 in / 69.9 mm,7.13 in / 181.1 mm,8.75 in / 222.3 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,['Mounted Bearing'],['22213'],['2 1/2 in'],['Imperial'],"['QAAPR13A208SB', 'QAAPR13A208SC', 'QAAPR13A208SEB', 'QAAPR13A208SEC', 'QAAPR13A208SEM', 'QAAPR13A208SEN', 'QAAPR13A208SEO', 'QAAPR13A208SET', 'QAAPR13A208SM', 'QAAPR13A208SN', 'QAAPR13A208SO', 'QAAPR13A208ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450029902', '0883450029919', '0883450029933', '0883450029940', '0883450029957', '0883450029964', '0883450029971', '0883450029988', '0883450189972', '0883450190084', '0883450267335', '0883450267441']","['2.75 in', '69.9 mm']","['5.8 in', '147.3 mm']","['3.81 in', '96.8 mm']","['7.13 in', '181.1 mm']","['8.75 in', '222.3 mm']","['1.88 in', '47.8 mm']","['10.25 in', '260.4 mm']","['3.25 in', '82.6 mm']","['0.98 in', '24.9 mm']","['0.625 in', '16 mm']","['3.77 in', '95.8 mm']","['2.15 in', '54.6 mm']","['0.7 in', '17.8 mm']","['4.3 in', '109.2 mm']","['48600 lbf', '216000 N']","['46400 lbf', '206000 N']",['0.24'],['2.79'],['4.15'],['1800 rpm'],['3200 rpm'],['1500 rpm'],['1800 rpm'],['2800 rpm'],['1500 rpm'],"['0.083 in', '2.108 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPX13A208S,22213 ,2 1/2 in,3 in / 76.2 mm,6.94 in / 176.3 mm,9.56 in / 242.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,['Mounted Bearing'],['22213'],['2 1/2 in'],['Imperial'],"['QAAPX13A208SB', 'QAAPX13A208SC', 'QAAPX13A208SEB', 'QAAPX13A208SEC', 'QAAPX13A208SEM', 'QAAPX13A208SEN', 'QAAPX13A208SEO', 'QAAPX13A208SET', 'QAAPX13A208SM', 'QAAPX13A208SN', 'QAAPX13A208SO', 'QAAPX13A208ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450006446', '0883450006514', '0883450006545', '0883450006613', '0883450006644', '0883450006712', '0883450006743', '0883450006811', '0883450006842', '0883450006910', '0883450267557', '0883450267779']","['3 in', '76.2 mm']","['6.05 in', '153.7 mm']","['3.81 in', '96.8 mm']","['6.94 in', '176.3 mm']","['9.56 in', '242.8 mm']","['2.63 in', '66.8 mm']","['11.25 in', '285.8 mm']","['3.88 in', '98.6 mm']","['1.22 in', '31 mm']","['0.625 in', '16 mm']","['4.09 in', '103.9 mm']","['2.15 in', '54.6 mm']","['0.7 in', '17.8 mm']","['4.3 in', '109.2 mm']","['48600 lbf', '216000 N']","['46400 lbf', '206000 N']",['0.24'],['2.79'],['4.15'],['1800 rpm'],['3200 rpm'],['1500 rpm'],['1800 rpm'],['2800 rpm'],['1500 rpm'],"['0.083 in', '2.108 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPF13A065S,22213 ,65 mm,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,['Mounted Bearing'],['22213'],['65 mm'],['Metric'],"['QAAPF13A065SB', 'QAAPF13A065SC', 'QAAPF13A065SEB', 'QAAPF13A065SEC', 'QAAPF13A065SEM', 'QAAPF13A065SEN', 'QAAPF13A065SEO', 'QAAPF13A065SET', 'QAAPF13A065SM', 'QAAPF13A065SN', 'QAAPF13A065SO', 'QAAPF13A065ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450026802', '0883450026819', '0883450026833', '0883450026840', '0883450026857', '0883450026864', '0883450026871', '0883450026888', '0883450189507', '0883450189637', '0883450266840', '0883450266987']","['2.75 in', '69.9 mm']","['5.8 in', '147.3 mm']","['3.81 in', '96.8 mm']","['6.88 in', '174.8 mm']","['7.63 in', '193.8 mm']","['1.75 in', '44.5 mm']","['9.25 in', '235 mm']","['3 in', '76.2 mm']","['0.98 in', '24.9 mm']","['0.625 in', '16 mm']","['3.65 in', '92.7 mm']","['2.15 in', '54.6 mm']","['0.7 in', '17.8 mm']","['4.3 in', '109.2 mm']","['48600 lbf', '216000 N']","['46400 lbf', '206000 N']",['0.24'],['2.79'],['4.15'],['1800 rpm'],['3200 rpm'],['1500 rpm'],['1800 rpm'],['2800 rpm'],['1500 rpm'],"['0.083 in', '2.108 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
