Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension MT,Dimension RTT,Dimension ST,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max,UPC Code
TAASD09K107S,22209 ,1 7/16 in,2.88 in / 73.2 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,['Mounted Bearing'],['22209'],['1 7/16 in'],['Imperial'],"['TAASD09K107SB', 'TAASD09K107SC', 'TAASD09K107SEB', 'TAASD09K107SEC', 'TAASD09K107SEM', 'TAASD09K107SEN', 'TAASD09K107SEO', 'TAASD09K107SET', 'TAASD09K107SM', 'TAASD09K107SN', 'TAASD09K107SO', 'TAASD09K107ST']",['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.88 in', '73.2 mm']","['4.88 in', '124 mm']","['2.56 in', '65 mm']","['6.88 in', '174.8 mm']","['7.63 in', '193.8 mm']","['9 in', '228.6 mm']","['2.03 in', '51.7 mm']","['1.14 in', '29 mm']","['0.5 in', '12 mm']","['2.23 in', '56.6 mm']","['1.31 in', '33.3 mm']","['0.24 in', '6.2 mm']","['2.42 in', '65.3 mm']","['24200 lbf', '108000 N']","['24500 lbf', '109000 N']",['0.26'],['2.64'],['3.93'],['2700 rpm'],['4500 rpm'],['1950 rpm'],['2700 rpm'],['4000 rpm'],['1950 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0014'],['0.0022'],"['0.0014 in', '0.035 mm']","['0.0022 in', '0.055 mm']",
TAADI09K107S,22209 ,1 7/16 in,2.38 in / 60.5 mm,6.25 in / 158.8 mm,6.63 in / 168.4 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,['Mounted Bearing'],['22209'],['1 7/16 in'],['Imperial'],"['TAADI09K107SB', 'TAADI09K107SC', 'TAADI09K107SEB', 'TAADI09K107SEC', 'TAADI09K107SEM', 'TAADI09K107SEN', 'TAADI09K107SEO', 'TAADI09K107SET', 'TAADI09K107SM', 'TAADI09K107SN', 'TAADI09K107SO', 'TAADI09K107ST']",['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.38 in', '60.5 mm']","['4.72 in', '119.8 mm']","['2.56 in', '65 mm']","['6.25 in', '158.8 mm']","['6.63 in', '168.4 mm']","['8 in', '203.2 mm']","['2.03 in', '51.7 mm']","['1.14 in', '29 mm']","['0.5 in', '12 mm']","['2.23 in', '56.6 mm']","['1.31 in', '33.3 mm']","['0.24 in', '6.2 mm']","['2.42 in', '65.3 mm']","['24200 lbf', '108000 N']","['24500 lbf', '109000 N']",['0.26'],['2.64'],['3.93'],['2700 rpm'],['4500 rpm'],['1950 rpm'],['2700 rpm'],['4000 rpm'],['1950 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0014'],['0.0022'],"['0.0014 in', '0.035 mm']","['0.0022 in', '0.055 mm']",
TAAPN09K107S,22209 ,1 7/16 in,2.362 in / 60 mm,6.25 in / 158.8 mm,7 in / 177.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,['Mounted Bearing'],['22209'],['1 7/16 in'],['Imperial'],,['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.362 in', '60 mm']","['4.25 in', '108 mm']","['2.56 in', '65 mm']","['6.25 in', '158.8 mm']","['7 in', '177.8 mm']","['8.25 in', '209.6 mm']","['2.1 in', '53.3 mm']","['1.14 in', '29 mm']","['0.5 in', '12 mm']","['2.26 in', '57.4 mm']","['1.34 in', '34.2 mm']","['0.18 in', '4.6 mm']","['2.57 in', '65.33 mm']","['24200 lbf', '108000 N']","['24500 lbf', '109000 N']",['0.26'],['2.64'],['3.93'],['2700 rpm'],['4500 rpm'],['1950 rpm'],['2700 rpm'],['4000 rpm'],['1950 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0014'],['0.0022'],"['0.0014 in', '0.035 mm']","['0.0022 in', '0.055 mm']",
TAAPA09K107S,22209 ,1 7/16 in,2.25 in / 57.2 mm,6.25 in / 158.8 mm,7 in / 177.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,['Mounted Bearing'],['22209'],['1 7/16 in'],['Imperial'],,['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.25 in', '57.2 mm']","['4.25 in', '108 mm']","['2.56 in', '65 mm']","['6.25 in', '158.8 mm']","['7 in', '177.8 mm']","['8.25 in', '209.6 mm']","['2.1 in', '53.3 mm']","['1.14 in', '29 mm']","['0.5 in', '12 mm']","['2.26 in', '57.4 mm']","['1.34 in', '34.2 mm']","['0.18 in', '4.6 mm']","['2.57 in', '65.33 mm']","['24200 lbf', '108000 N']","['24500 lbf', '109000 N']",['0.26'],['2.64'],['3.93'],['2700 rpm'],['4500 rpm'],['1950 rpm'],['2700 rpm'],['4000 rpm'],['1950 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0014'],['0.0022'],"['0.0014 in', '0.035 mm']","['0.0022 in', '0.055 mm']",
DAAP09K107S,22209 ,1 7/16 in,1.88 in / 47.8 mm,4.69 in / 119.1 mm,6 in / 152.4 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,['Mounted Bearing'],['22209'],['1 7/16 in'],['Imperial'],"['DAAP09K107SB', 'DAAP09K107SC', 'DAAP09K107SEB', 'DAAP09K107SEC', 'DAAP09K107SEM', 'DAAP09K107SEN', 'DAAP09K107SEO', 'DAAP09K107SET', 'DAAP09K107SM', 'DAAP09K107SN', 'DAAP09K107SO', 'DAAP09K107ST']",['Tapered Adapter'],['Two-Bolt Pillow Block'],"['1.88 in', '47.8 mm']","['3.88 in', '98.6 mm']","['2.56 in', '65 mm']","['4.69 in', '119.1 mm']","['6 in', '152.4 mm']","['6.88 in', '174.8 mm']","['2.1 in', '53.3 mm']","['1 in', '25.4 mm']","['0.5 in', '12 mm']","['2.26 in', '57.4 mm']","['1.34 in', '34.2 mm']","['0.18 in', '4.5 mm']","['2.57 in', '65.33 mm']","['24200 lbf', '108000 N']","['24500 lbf', '109000 N']",['0.26'],['2.64'],['3.93'],['2700 rpm'],['4500 rpm'],['1950 rpm'],['2700 rpm'],['4000 rpm'],['1950 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0014'],['0.0022'],"['0.0014 in', '0.035 mm']","['0.0022 in', '0.055 mm']",
TAASD09K108S,22209 ,1 1/2 in,2.88 in / 73.2 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,['Mounted Bearing'],['22209'],['1 1/2 in'],['Imperial'],"['TAASD09K108SB', 'TAASD09K108SC', 'TAASD09K108SEB', 'TAASD09K108SEC', 'TAASD09K108SEM', 'TAASD09K108SEN', 'TAASD09K108SEO', 'TAASD09K108SET', 'TAASD09K108SM', 'TAASD09K108SN', 'TAASD09K108SO', 'TAASD09K108ST']",['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.88 in', '73.2 mm']","['4.88 in', '124 mm']","['2.56 in', '65 mm']","['6.88 in', '174.8 mm']","['7.63 in', '193.8 mm']","['9 in', '228.6 mm']","['2.03 in', '51.7 mm']","['1.14 in', '29 mm']","['0.5 in', '12 mm']","['2.23 in', '56.6 mm']","['1.31 in', '33.3 mm']","['0.24 in', '6.2 mm']","['2.42 in', '65.3 mm']","['24200 lbf', '108000 N']","['24500 lbf', '109000 N']",['0.26'],['2.64'],['3.93'],['2700 rpm'],['4500 rpm'],['1950 rpm'],['2700 rpm'],['4000 rpm'],['1950 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0014'],['0.0022'],"['0.0014 in', '0.035 mm']","['0.0022 in', '0.055 mm']",
TAADI09K108S,22209 ,1 1/2 in,2.63 in / 66.8 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,['Mounted Bearing'],['22209'],['1 1/2 in'],['Imperial'],"['TAADI09K108SB', 'TAADI09K108SC', 'TAADI09K108SEB', 'TAADI09K108SEC', 'TAADI09K108SEM', 'TAADI09K108SEN', 'TAADI09K108SEO', 'TAADI09K108SET', 'TAADI09K108SM', 'TAADI09K108SN', 'TAADI09K108SO', 'TAADI09K108ST']",['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.63 in', '66.8 mm']","['5 in', '127 mm']","['2.56 in', '65 mm']","['6.88 in', '174.8 mm']","['7.63 in', '193.8 mm']","['9 in', '228.6 mm']","['2.03 in', '51.7 mm']","['1.25 in', '31.8 mm']","['0.5 in', '12 mm']","['2.23 in', '56.6 mm']","['1.31 in', '33.3 mm']","['0.24 in', '6.2 mm']","['2.42 in', '65.3 mm']","['24200 lbf', '108000 N']","['24500 lbf', '109000 N']",['0.26'],['2.64'],['3.93'],['2700 rpm'],['4500 rpm'],['1950 rpm'],['2700 rpm'],['4000 rpm'],['1950 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0014'],['0.0022'],"['0.0014 in', '0.035 mm']","['0.0022 in', '0.055 mm']",
TAAPN09K108S,22209 ,1 1/2 in,2.362 in / 60 mm,6.25 in / 158.8 mm,7 in / 177.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,['Mounted Bearing'],['22209'],['1 1/2 in'],['Imperial'],,['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.362 in', '60 mm']","['4.25 in', '108 mm']","['2.56 in', '65 mm']","['6.25 in', '158.8 mm']","['7 in', '177.8 mm']","['8.25 in', '209.6 mm']","['2.1 in', '53.3 mm']","['1.14 in', '29 mm']","['0.5 in', '12 mm']","['2.26 in', '57.4 mm']","['1.34 in', '34.2 mm']","['0.18 in', '4.6 mm']","['2.57 in', '65.33 mm']","['24200 lbf', '108000 N']","['24500 lbf', '109000 N']",['0.26'],['2.64'],['3.93'],['2700 rpm'],['4500 rpm'],['1950 rpm'],['2700 rpm'],['4000 rpm'],['1950 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0014'],['0.0022'],"['0.0014 in', '0.035 mm']","['0.0022 in', '0.055 mm']",
TAAPA09K108S,22209 ,1 1/2 in,2.25 in / 57.2 mm,6.25 in / 158.8 mm,7 in / 177.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,['Mounted Bearing'],['22209'],['1 1/2 in'],['Imperial'],,['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.25 in', '57.2 mm']","['4.25 in', '108 mm']","['2.56 in', '65 mm']","['6.25 in', '158.8 mm']","['7 in', '177.8 mm']","['8.25 in', '209.6 mm']","['2.1 in', '53.3 mm']","['1.14 in', '29 mm']","['0.5 in', '12 mm']","['2.26 in', '57.4 mm']","['1.34 in', '34.2 mm']","['0.18 in', '4.6 mm']","['2.57 in', '65.33 mm']","['24200 lbf', '108000 N']","['24500 lbf', '109000 N']",['0.26'],['2.64'],['3.93'],['2700 rpm'],['4500 rpm'],['1950 rpm'],['2700 rpm'],['4000 rpm'],['1950 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0014'],['0.0022'],"['0.0014 in', '0.035 mm']","['0.0022 in', '0.055 mm']",
DAAP09K108S,22209 ,1 1/2 in,2.13 in / 54.1 mm,4.69 in / 119.1 mm,6.5 in / 165.1 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,['Mounted Bearing'],['22209'],['1 1/2 in'],['Imperial'],"['DAAP09K108SB', 'DAAP09K108SC', 'DAAP09K108SEB', 'DAAP09K108SEC', 'DAAP09K108SEM', 'DAAP09K108SEN', 'DAAP09K108SEO', 'DAAP09K108SET', 'DAAP09K108SM', 'DAAP09K108SN', 'DAAP09K108SO', 'DAAP09K108ST']",['Tapered Adapter'],['Two-Bolt Pillow Block'],"['2.13 in', '54.1 mm']","['4.13 in', '104.9 mm']","['2.56 in', '65 mm']","['4.69 in', '119.1 mm']","['6.5 in', '165.1 mm']","['7.88 in', '200.2 mm']","['2.1 in', '53.3 mm']","['1 in', '25.4 mm']","['0.5 in', '12 mm']","['2.26 in', '57.4 mm']","['1.34 in', '34.2 mm']","['0.18 in', '4.5 mm']","['2.57 in', '65.33 mm']","['24200 lbf', '108000 N']","['24500 lbf', '109000 N']",['0.26'],['2.64'],['3.93'],['2700 rpm'],['4500 rpm'],['1950 rpm'],['2700 rpm'],['4000 rpm'],['1950 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0014'],['0.0022'],"['0.0014 in', '0.035 mm']","['0.0022 in', '0.055 mm']",
