Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,Bolt Hole Spacing - Across,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension MT,Dimension RTT,Dimension ST,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Pre Install Clearance Min,Pre Install Clearance Max
TAAPG11K115S,22211 ,1 15/16 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.57 in / 39.9 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,1 15/16 in,Imperial,TAAPG11K115SB/TAAPG11K115SC/TAAPG11K115SEB/TAAPG11K115SEC/TAAPG11K115SEM/TAAPG11K115SEN/TAAPG11K115SEO/TAAPG11K115SET/TAAPG11K115SM/TAAPG11K115SN/TAAPG11K115SO/TAAPG11K115ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,0883450126472/0883450126489/0883450126502/0883450126519/0883450126526/0883450126533/0883450126540/0883450126557/0883450198042/0883450198240/0883450275545/0883450275743,2.75 in/69.9 mm,5.31 in/134.9 mm,2.95 in/74.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.75 in/69.9 mm,1.54 in/39.1 mm,0.28 in/7.1 mm,3.01 in/76.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm
TAAPH11K115S,22211 ,1 15/16 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.57 in / 39.9 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,1 15/16 in,Imperial,TAAPH11K115SB/TAAPH11K115SC/TAAPH11K115SEB/TAAPH11K115SEC/TAAPH11K115SEM/TAAPH11K115SEN/TAAPH11K115SEO/TAAPH11K115SET/TAAPH11K115SM/TAAPH11K115SN/TAAPH11K115SO/TAAPH11K115ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,0883450128476/0883450128483/0883450128506/0883450128513/0883450128520/0883450128537/0883450128544/0883450128551/0883450198448/0883450198646/0883450275941/0883450276146,2.75 in/69.9 mm,5.31 in/134.9 mm,2.95 in/74.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.75 in/69.9 mm,1.54 in/39.1 mm,0.28 in/7.1 mm,3.01 in/76.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm
TAAPG11K050S,22211 ,50 mm,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.57 in / 39.9 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,50 mm,Metric,TAAPG11K050SB/TAAPG11K050SC/TAAPG11K050SEB/TAAPG11K050SEC/TAAPG11K050SEM/TAAPG11K050SEN/TAAPG11K050SEO/TAAPG11K050SET/TAAPG11K050SM/TAAPG11K050SN/TAAPG11K050SO/TAAPG11K050ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,0883450126373/0883450126380/0883450126403/0883450126410/0883450126427/0883450126434/0883450126441/0883450126458/0883450198066/0883450198264/0883450275569/0883450275767,2.75 in/69.9 mm,5.31 in/134.9 mm,2.95 in/74.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.75 in/69.9 mm,1.54 in/39.1 mm,0.28 in/7.1 mm,3.01 in/76.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm
TAAPH11K050S,22211 ,50 mm,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.57 in / 39.9 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,50 mm,Metric,TAAPH11K050SB/TAAPH11K050SC/TAAPH11K050SEB/TAAPH11K050SEC/TAAPH11K050SEM/TAAPH11K050SEN/TAAPH11K050SEO/TAAPH11K050SET/TAAPH11K050SM/TAAPH11K050SN/TAAPH11K050SO/TAAPH11K050ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,0883450128377/0883450128384/0883450128407/0883450128414/0883450128421/0883450128438/0883450128445/0883450128452/0883450198462/0883450198660/0883450275965/0883450276160,2.75 in/69.9 mm,5.31 in/134.9 mm,2.95 in/74.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.75 in/69.9 mm,1.54 in/39.1 mm,0.28 in/7.1 mm,3.01 in/76.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm
TAAPG11K200S,22211 ,2 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.57 in / 39.9 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,TAAPG11K200SB/TAAPG11K200SC/TAAPG11K200SEB/TAAPG11K200SEC/TAAPG11K200SEM/TAAPG11K200SEN/TAAPG11K200SEO/TAAPG11K200SET/TAAPG11K200SM/TAAPG11K200SN/TAAPG11K200SO/TAAPG11K200ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,0883450126571/0883450126588/0883450126601/0883450126618/0883450126625/0883450126632/0883450126649/0883450126656/0883450198059/0883450198257/0883450275552/0883450275750,2.75 in/69.9 mm,5.31 in/134.9 mm,2.95 in/74.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.75 in/69.9 mm,1.54 in/39.1 mm,0.28 in/7.1 mm,3.01 in/76.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm
TAAPH11K200S,22211 ,2 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.57 in / 39.9 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,TAAPH11K200SB/TAAPH11K200SC/TAAPH11K200SEB/TAAPH11K200SEC/TAAPH11K200SEM/TAAPH11K200SEN/TAAPH11K200SEO/TAAPH11K200SET/TAAPH11K200SM/TAAPH11K200SN/TAAPH11K200SO/TAAPH11K200ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,0883450128575/0883450128582/0883450128605/0883450128612/0883450128629/0883450128636/0883450128643/0883450128650/0883450198455/0883450198653/0883450275958/0883450276153,2.75 in/69.9 mm,5.31 in/134.9 mm,2.95 in/74.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.75 in/69.9 mm,1.54 in/39.1 mm,0.28 in/7.1 mm,3.01 in/76.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm
TAAPG12K055S,22212 ,55 mm,2.756 in / 70 mm,7 in / 177.8 mm,8.63 in / 219.2 mm,1.38 in / 35.31 mm,39000 lbf / 174000 N,38100 lbf / 169000 N,,Mounted Bearing,22212,55 mm,Metric,,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,2.756 in/70 mm,5.53 in/140.5 mm,3.14 in/79.8 mm,7 in/177.8 mm,8.63 in/219.2 mm,1.38 in/35.31 mm,10 in/254 mm,2.75 in/69.9 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.86 in/72.6 mm,1.62 in/41.1 mm,0.28 in/7 mm,3.08 in/78.33 mm,39000 lbf/174000 N,38100 lbf/169000 N,0.24,2.84,4.23,2000 rpm,3500 rpm,1650 rpm,2000 rpm,3000 rpm,1550 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030 in/0.075 mm,0.0037 in/0.094 mm
TAAPG13K203S,22213 ,2 3/16 in,3.15 in / 80 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.89 in / 48 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,TAAPG13K203SB/TAAPG13K203SC/TAAPG13K203SEB/TAAPG13K203SEC/TAAPG13K203SEM/TAAPG13K203SEN/TAAPG13K203SEO/TAAPG13K203SET/TAAPG13K203SM/TAAPG13K203SN/TAAPG13K203SO/TAAPG13K203ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,0883450126779/0883450126786/0883450126809/0883450126816/0883450126823/0883450126830/0883450126847/0883450126854/0883450198073/0883450198271/0883450275576/0883450275774,3.15 in/80 mm,6.1 in/154.9 mm,3.35 in/85.1 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.89 in/48 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.19 in/81 mm,1.72 in/43.7 mm,0.2 in/5.1 mm,3.26 in/82.8 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm
TAAPH13K203S,22213 ,2 3/16 in,3 in / 76.2 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,2 in / 50.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,TAAPH13K203SB/TAAPH13K203SC/TAAPH13K203SEB/TAAPH13K203SEC/TAAPH13K203SEM/TAAPH13K203SEN/TAAPH13K203SEO/TAAPH13K203SET/TAAPH13K203SM/TAAPH13K203SN/TAAPH13K203SO/TAAPH13K203ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,0883450128773/0883450128780/0883450128803/0883450128810/0883450128827/0883450128834/0883450128841/0883450128858/0883450198479/0883450198677/0883450275972/0883450276177,3 in/76.2 mm,5.95 in/151.1 mm,3.35 in/85.1 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,2 in/50.8 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.23 in/31.2 mm,0.5 in/12 mm,3.19 in/81 mm,1.72 in/43.7 mm,0.2 in/5.1 mm,3.26 in/82.8 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm
TAAPG13K204S,22213 ,2 1/4 in,3.15 in / 80 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.89 in / 48 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 1/4 in,Imperial,TAAPG13K204SB/TAAPG13K204SC/TAAPG13K204SEB/TAAPG13K204SEC/TAAPG13K204SEM/TAAPG13K204SEN/TAAPG13K204SEO/TAAPG13K204SET/TAAPG13K204SM/TAAPG13K204SN/TAAPG13K204SO/TAAPG13K204ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,0883450126878/0883450126885/0883450126908/0883450126915/0883450126922/0883450126939/0883450126946/0883450126953/0883450198080/0883450198288/0883450275583/0883450275781,3.15 in/80 mm,6.1 in/154.9 mm,3.35 in/85.1 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.89 in/48 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.19 in/81 mm,1.72 in/43.7 mm,0.2 in/5.1 mm,3.26 in/82.8 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm
