Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,LinkToPart,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension K,Dimension L,Dimension M,Dimension R,Dimension S,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QMSN09J040S,22209 ,40 mm,2.36 in / 60 mm,6.26 in / 159 mm,6.89 in / 175 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn09j040s-3,Mounted Bearing,22209,40 mm,Metric,QMSN09J040SB/QMSN09J040SC/QMSN09J040SEB/QMSN09J040SEC/QMSN09J040SEM/QMSN09J040SEN/QMSN09J040SEO/QMSN09J040SET/QMSN09J040SM/QMSN09J040SN/QMSN09J040SO/QMSN09J040ST,Eccentric,Two-Bolt Pillow Block,0883450096027/0883450096034/0883450096058/0883450096065/0883450096072/0883450096089/0883450096096/0883450096102/0883450160803/0883450161169/0883450253468/0883450253857,2.36 in/60 mm,4.37 in/111 mm,2.64 in/67 mm,6.26 in/159 mm,6.89 in/175 mm,8.07 in/205 mm,2.44 in/62 mm,1.38 in/35 mm,0.5 in/12 mm,0.98 in/25 mm,3.11 in/79 mm,1.89 in/48 mm,0.24 in/6 mm,2.87 in/73 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm
QMSN09J045S,22209 ,45 mm,2.36 in / 60 mm,6.26 in / 159 mm,6.89 in / 175 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn09j045s-3,Mounted Bearing,22209,45 mm,Metric,QMSN09J045SB/QMSN09J045SC/QMSN09J045SEB/QMSN09J045SEC/QMSN09J045SEM/QMSN09J045SEN/QMSN09J045SEO/QMSN09J045SET/QMSN09J045SM/QMSN09J045SMT/QMSN09J045SN/QMSN09J045SO/QMSN09J045ST,Eccentric,Two-Bolt Pillow Block,0883450096126/0883450096133/0883450096157/0883450096164/0883450096171/0883450096188/0883450096195/0883450096201/0883450160827/0883450161183/0883450253482/0883450253871/0883450472326,2.36 in/60 mm,4.37 in/111 mm,2.64 in/67 mm,6.26 in/159 mm,6.89 in/175 mm,8.07 in/205 mm,2.44 in/62 mm,1.38 in/35 mm,0.5 in/12 mm,0.98 in/25 mm,3.11 in/79 mm,1.89 in/48 mm,0.24 in/6 mm,2.87 in/73 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm
QMSN09J111S,22209 ,1 11/16 in,2.36 in / 60 mm,6.26 in / 159 mm,6.89 in / 175 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn09j111s-3,Mounted Bearing,22209,1 11/16 in,Imperial,QMSN09J111SB/QMSN09J111SC/QMSN09J111SEB/QMSN09J111SEC/QMSN09J111SEM/QMSN09J111SEN/QMSN09J111SEO/QMSN09J111SET/QMSN09J111SM/QMSN09J111SN/QMSN09J111SO/QMSN09J111ST,Eccentric,Two-Bolt Pillow Block,0883450096225/0883450096232/0883450096256/0883450096263/0883450096270/0883450096287/0883450096294/0883450096300/0883450160797/0883450161152/0883450253451/0883450253840,2.36 in/60 mm,4.37 in/111 mm,2.64 in/67 mm,6.26 in/159 mm,6.89 in/175 mm,8.07 in/205 mm,2.44 in/62 mm,1.38 in/35 mm,0.5 in/12 mm,0.98 in/25 mm,3.11 in/79 mm,1.89 in/48 mm,0.24 in/6 mm,2.87 in/73 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm
QMSN09J112S,22209 ,1 3/4 in,2.36 in / 60 mm,6.26 in / 159 mm,6.89 in / 175 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn09j112s-3,Mounted Bearing,22209,1 3/4 in,Imperial,QMSN09J112SB/QMSN09J112SC/QMSN09J112SEB/QMSN09J112SEC/QMSN09J112SEM/QMSN09J112SEN/QMSN09J112SEO/QMSN09J112SET/QMSN09J112SM/QMSN09J112SN/QMSN09J112SO/QMSN09J112ST,Eccentric,Two-Bolt Pillow Block,0883450096324/0883450096331/0883450096355/0883450096362/0883450096379/0883450096386/0883450096393/0883450096409/0883450160810/0883450161176/0883450253475/0883450253864,2.36 in/60 mm,4.37 in/111 mm,2.64 in/67 mm,6.26 in/159 mm,6.89 in/175 mm,8.07 in/205 mm,2.44 in/62 mm,1.38 in/35 mm,0.5 in/12 mm,0.98 in/25 mm,3.11 in/79 mm,1.89 in/48 mm,0.24 in/6 mm,2.87 in/73 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm
QMSN10J050S,22210 ,50 mm,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn10j050s-3,Mounted Bearing,22210,50 mm,Metric,QMSN10J050SB/QMSN10J050SC/QMSN10J050SEB/QMSN10J050SEC/QMSN10J050SEM/QMSN10J050SEN/QMSN10J050SEO/QMSN10J050SET/QMSN10J050SETHT/QMSN10J050SM/QMSN10J050SN/QMSN10J050SO/QMSN10J050ST/QMSN10J050STHT,Eccentric,Two-Bolt Pillow Block,0883450096423/0883450096430/0883450096454/0883450096461/0883450096478/0883450096485/0883450096492/0883450096508/0883450160858/0883450161213/0883450253512/0883450253901/0883450500302/0883450500319,2.76 in/70 mm,5.35 in/136 mm,2.76 in/70 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,0.98 in/25 mm,0.625 in/16 mm,0.98 in/25 mm,3.23 in/82 mm,1.89 in/48 mm,0.35 in/9 mm,2.87 in/73 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMSN10J115S,22210 ,1 15/16 in,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn10j115s-3,Mounted Bearing,22210,1 15/16 in,Imperial,QMSN10J115SB/QMSN10J115SC/QMSN10J115SEB/QMSN10J115SEC/QMSN10J115SEM/QMSN10J115SEN/QMSN10J115SEO/QMSN10J115SET/QMSN10J115SM/QMSN10J115SN/QMSN10J115SO/QMSN10J115ST,Eccentric,Two-Bolt Pillow Block,0883450096522/0883450096539/0883450096553/0883450096560/0883450096577/0883450096584/0883450096591/0883450096607/0883450160834/0883450161190/0883450253499/0883450253888,2.76 in/70 mm,5.35 in/136 mm,2.76 in/70 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,0.98 in/25 mm,0.625 in/16 mm,0.98 in/25 mm,3.23 in/82 mm,1.89 in/48 mm,0.35 in/9 mm,2.87 in/73 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMSN10J200S,22210 ,2 in,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn10j200s-3,Mounted Bearing,22210,2 in,Imperial,QMSN10J200SB/QMSN10J200SC/QMSN10J200SEB/QMSN10J200SEC/QMSN10J200SEM/QMSN10J200SEN/QMSN10J200SEO/QMSN10J200SET/QMSN10J200SM/QMSN10J200SN/QMSN10J200SO/QMSN10J200ST,Eccentric,Two-Bolt Pillow Block,0883450096621/0883450096638/0883450096652/0883450096669/0883450096676/0883450096683/0883450096690/0883450096706/0883450160841/0883450161206/0883450253505/0883450253895,2.76 in/70 mm,5.35 in/136 mm,2.76 in/70 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,0.98 in/25 mm,0.625 in/16 mm,0.98 in/25 mm,3.23 in/82 mm,1.89 in/48 mm,0.35 in/9 mm,2.87 in/73 mm,26600 lbf/118000 N,26300 lbf/117000 N,0.24,2.84,4.23,2400 rpm,4200 rpm,1800 rpm,2400 rpm,3550 rpm,1800 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMSN11J055S,22211 ,55 mm,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn11j055s-3,Mounted Bearing,22211,55 mm,Metric,QMSN11J055SB/QMSN11J055SC/QMSN11J055SEB/QMSN11J055SEC/QMSN11J055SEM/QMSN11J055SEN/QMSN11J055SEO/QMSN11J055SET/QMSN11J055SM/QMSN11J055SN/QMSN11J055SO/QMSN11J055ST,Eccentric,Two-Bolt Pillow Block,0883450096720/0883450096737/0883450096751/0883450096768/0883450096775/0883450096782/0883450096799/0883450096805/0883450160889/0883450161244/0883450253543/0883450253932,2.76 in/70 mm,5.55 in/141 mm,2.99 in/76 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,0.98 in/25 mm,0.625 in/16 mm,1.14 in/29 mm,3.35 in/85 mm,2.01 in/51 mm,0.24 in/6 mm,3.15 in/80 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMSN11J203S,22211 ,2 3/16 in,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn11j203s-3,Mounted Bearing,22211,2 3/16 in,Imperial,QMSN11J203SB/QMSN11J203SC/QMSN11J203SEB/QMSN11J203SEC/QMSN11J203SEM/QMSN11J203SEN/QMSN11J203SEO/QMSN11J203SET/QMSN11J203SM/QMSN11J203SN/QMSN11J203SO/QMSN11J203ST,Eccentric,Two-Bolt Pillow Block,0883450096829/0883450096836/0883450096850/0883450096867/0883450096874/0883450096881/0883450096898/0883450096904/0883450160865/0883450161220/0883450253529/0883450253918,2.76 in/70 mm,5.55 in/141 mm,2.99 in/76 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,0.98 in/25 mm,0.625 in/16 mm,1.14 in/29 mm,3.35 in/85 mm,2.01 in/51 mm,0.24 in/6 mm,3.15 in/80 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMSN11J204S,22211 ,2 1/4 in,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-two-bolt-pillow-block/qmsn11j204s-3,Mounted Bearing,22211,2 1/4 in,Imperial,QMSN11J204SB/QMSN11J204SC/QMSN11J204SEB/QMSN11J204SEC/QMSN11J204SEM/QMSN11J204SEN/QMSN11J204SEO/QMSN11J204SET/QMSN11J204SM/QMSN11J204SN/QMSN11J204SO/QMSN11J204ST,Eccentric,Two-Bolt Pillow Block,0883450096928/0883450096935/0883450096959/0883450096966/0883450096973/0883450096980/0883450096997/0883450097000/0883450160872/0883450161237/0883450253536/0883450253925,2.76 in/70 mm,5.55 in/141 mm,2.99 in/76 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,0.98 in/25 mm,0.625 in/16 mm,1.14 in/29 mm,3.35 in/85 mm,2.01 in/51 mm,0.24 in/6 mm,3.15 in/80 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
