Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,Bolt Hole Spacing - Across,C0 - Static Load,C - Dynamic Load (Basic),CAD,LinkToPart,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension K,Dimension L,Dimension M,Dimension R,Dimension S,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QMPF13J060S,22213 ,60 mm,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,1.75 in / 44.5 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-four-bolt-pillow-block/qmpf13j060s,Mounted Bearing,22213,60 mm,Metric,QMPF13J060SB/QMPF13J060SC/QMPF13J060SEB/QMPF13J060SEC/QMPF13J060SEM/QMPF13J060SEN/QMPF13J060SEO/QMPF13J060SET/QMPF13J060SM/QMPF13J060SN/QMPF13J060SO/QMPF13J060ST,Eccentric,Four-Bolt Pillow Block,0883450250597/0883450251013/0883450294720/0883450294737/0883450294744/0883450294751/0883450294768/0883450294775/0883450294782/0883450294799/0883450294805/0883450294812,2.75 in/69.9 mm,5.8 in/147.3 mm,3.62 in/91.9 mm,6.88 in/174.8 mm,7.63 in/193.8 mm,1.75 in/44.5 mm,9.25 in/235 mm,3 in/76.2 mm,0.98 in/24.9 mm,0.625 in/16 mm,1.24 in/31.5 mm,3.63 in/92.2 mm,2.13 in/54.1 mm,0.21 in/5.3 mm,3.37 in/85.6 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMPR13J060S,22213 ,60 mm,2.75 in / 69.9 mm,7.13 in / 181.1 mm,8.75 in / 222.3 mm,1.88 in / 47.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-four-bolt-pillow-block/qmpr13j060s,Mounted Bearing,22213,60 mm,Metric,QMPR13J060SB/QMPR13J060SC/QMPR13J060SEB/QMPR13J060SEC/QMPR13J060SEM/QMPR13J060SEN/QMPR13J060SEO/QMPR13J060SET/QMPR13J060SM/QMPR13J060SN/QMPR13J060SO/QMPR13J060ST,Eccentric,Four-Bolt Pillow Block,0883450034456/0883450034463/0883450034494/0883450034524/0883450034531/0883450034548/0883450034555/0883450034562/0883450034593/0883450034623/0883450251433/0883450251600,2.75 in/69.9 mm,5.8 in/147.3 mm,3.62 in/91.9 mm,7.13 in/181.1 mm,8.75 in/222.3 mm,1.88 in/47.8 mm,10.25 in/260.4 mm,3.25 in/82.6 mm,0.98 in/24.9 mm,0.625 in/16 mm,1.24 in/31.5 mm,3.76 in/95.5 mm,2.13 in/54.1 mm,0.21 in/5.3 mm,3.37 in/85.6 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMPX13J060S,22213 ,60 mm,3 in / 76.2 mm,6.94 in / 176.3 mm,9.56 in / 242.8 mm,2.63 in / 66.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-four-bolt-pillow-block/qmpx13j060s,Mounted Bearing,22213,60 mm,Metric,QMPX13J060SB/QMPX13J060SC/QMPX13J060SEB/QMPX13J060SEC/QMPX13J060SEM/QMPX13J060SEN/QMPX13J060SEO/QMPX13J060SET/QMPX13J060SM/QMPX13J060SN/QMPX13J060SO/QMPX13J060ST,Eccentric,Four-Bolt Pillow Block,0883450034692/0883450034722/0883450252614/0883450253031/0883450262484/0883450262491/0883450262507/0883450262514/0883450262569/0883450262576/0883450262583/0883450262590,3 in/76.2 mm,6.05 in/153.7 mm,3.62 in/91.9 mm,6.94 in/176.3 mm,9.56 in/242.8 mm,2.63 in/66.8 mm,11.25 in/285.8 mm,3.88 in/98.6 mm,1.22 in/31 mm,0.625 in/16 mm,1.24 in/31.5 mm,4.07 in/103.4 mm,2.13 in/54.1 mm,0.21 in/5.3 mm,3.37 in/85.6 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMPF13J207S,22213 ,2 7/16 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,1.75 in / 44.5 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-four-bolt-pillow-block/qmpf13j207s,Mounted Bearing,22213,2 7/16 in,Imperial,QMPF13J207SB/QMPF13J207SC/QMPF13J207SEB/QMPF13J207SEC/QMPF13J207SEM/QMPF13J207SEN/QMPF13J207SEO/QMPF13J207SET/QMPF13J207SM/QMPF13J207SMNP/QMPF13J207SN/QMPF13J207SO/QMPF13J207ST,Eccentric,Four-Bolt Pillow Block,0883450083324/0883450083331/0883450083355/0883450083362/0883450083379/0883450083386/0883450083393/0883450083409/0883450155663/0883450156394/0883450250603/0883450251020/0883450454520,2.75 in/69.9 mm,5.8 in/147.3 mm,3.62 in/91.9 mm,6.88 in/174.8 mm,7.63 in/193.8 mm,1.75 in/44.5 mm,9.25 in/235 mm,3 in/76.2 mm,0.98 in/24.9 mm,0.625 in/16 mm,1.24 in/31.5 mm,3.63 in/92.2 mm,2.13 in/54.1 mm,0.21 in/5.3 mm,3.37 in/85.6 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMPR13J207S,22213 ,2 7/16 in,2.75 in / 69.9 mm,7.13 in / 181.1 mm,8.75 in / 222.3 mm,1.88 in / 47.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-four-bolt-pillow-block/qmpr13j207s,Mounted Bearing,22213,2 7/16 in,Imperial,QMPR13J207SB/QMPR13J207SC/QMPR13J207SEB/QMPR13J207SEC/QMPR13J207SEM/QMPR13J207SEN/QMPR13J207SEO/QMPR13J207SET/QMPR13J207SM/QMPR13J207SN/QMPR13J207SO/QMPR13J207ST,Eccentric,Four-Bolt Pillow Block,0883450089524/0883450089531/0883450089555/0883450089562/0883450089579/0883450089586/0883450089593/0883450089609/0883450157124/0883450157322/0883450251440/0883450251617,2.75 in/69.9 mm,5.8 in/147.3 mm,3.62 in/91.9 mm,7.13 in/181.1 mm,8.75 in/222.3 mm,1.88 in/47.8 mm,10.25 in/260.4 mm,3.25 in/82.6 mm,0.98 in/24.9 mm,0.625 in/16 mm,1.24 in/31.5 mm,3.76 in/95.5 mm,2.13 in/54.1 mm,0.21 in/5.3 mm,3.37 in/85.6 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMPX13J207S,22213 ,2 7/16 in,3 in / 76.2 mm,6.94 in / 176.3 mm,9.56 in / 242.8 mm,2.63 in / 66.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-four-bolt-pillow-block/qmpx13j207s,Mounted Bearing,22213,2 7/16 in,Imperial,QMPX13J207SB/QMPX13J207SC/QMPX13J207SEB/QMPX13J207SEC/QMPX13J207SEM/QMPX13J207SEN/QMPX13J207SEO/QMPX13J207SET/QMPX13J207SM/QMPX13J207SN/QMPX13J207SO/QMPX13J207ST,Eccentric,Four-Bolt Pillow Block,0883450092821/0883450092838/0883450092852/0883450092869/0883450092876/0883450092883/0883450092890/0883450092906/0883450159333/0883450160063/0883450252621/0883450253048,3 in/76.2 mm,6.05 in/153.7 mm,3.62 in/91.9 mm,6.94 in/176.3 mm,9.56 in/242.8 mm,2.63 in/66.8 mm,11.25 in/285.8 mm,3.88 in/98.6 mm,1.22 in/31 mm,0.625 in/16 mm,1.24 in/31.5 mm,4.07 in/103.4 mm,2.13 in/54.1 mm,0.21 in/5.3 mm,3.37 in/85.6 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMPF13J208S,22213 ,2 1/2 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,1.75 in / 44.5 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-four-bolt-pillow-block/qmpf13j208s,Mounted Bearing,22213,2 1/2 in,Imperial,QMPF13J208SB/QMPF13J208SC/QMPF13J208SEB/QMPF13J208SEC/QMPF13J208SEM/QMPF13J208SEN/QMPF13J208SEO/QMPF13J208SET/QMPF13J208SM/QMPF13J208SN/QMPF13J208SO/QMPF13J208ST,Eccentric,Four-Bolt Pillow Block,0883450083423/0883450083430/0883450083454/0883450083461/0883450083478/0883450083485/0883450083492/0883450083508/0883450155670/0883450156400/0883450250610/0883450251037,2.75 in/69.9 mm,5.8 in/147.3 mm,3.62 in/91.9 mm,6.88 in/174.8 mm,7.63 in/193.8 mm,1.75 in/44.5 mm,9.25 in/235 mm,3 in/76.2 mm,0.98 in/24.9 mm,0.625 in/16 mm,1.24 in/31.5 mm,3.63 in/92.2 mm,2.13 in/54.1 mm,0.21 in/5.3 mm,3.37 in/85.6 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMPR13J208S,22213 ,2 1/2 in,2.75 in / 69.9 mm,7.13 in / 181.1 mm,8.75 in / 222.3 mm,1.88 in / 47.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-four-bolt-pillow-block/qmpr13j208s,Mounted Bearing,22213,2 1/2 in,Imperial,QMPR13J208SB/QMPR13J208SC/QMPR13J208SEB/QMPR13J208SEC/QMPR13J208SEM/QMPR13J208SEN/QMPR13J208SEO/QMPR13J208SET/QMPR13J208SM/QMPR13J208SN/QMPR13J208SO/QMPR13J208ST,Eccentric,Four-Bolt Pillow Block,0883450089623/0883450089630/0883450089654/0883450089661/0883450089678/0883450089685/0883450089692/0883450089708/0883450157131/0883450157339/0883450251457/0883450251624,2.75 in/69.9 mm,5.8 in/147.3 mm,3.62 in/91.9 mm,7.13 in/181.1 mm,8.75 in/222.3 mm,1.88 in/47.8 mm,10.25 in/260.4 mm,3.25 in/82.6 mm,0.98 in/24.9 mm,0.625 in/16 mm,1.24 in/31.5 mm,3.76 in/95.5 mm,2.13 in/54.1 mm,0.21 in/5.3 mm,3.37 in/85.6 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMPX13J208S,22213 ,2 1/2 in,3 in / 76.2 mm,6.94 in / 176.3 mm,9.56 in / 242.8 mm,2.63 in / 66.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-four-bolt-pillow-block/qmpx13j208s,Mounted Bearing,22213,2 1/2 in,Imperial,QMPX13J208SB/QMPX13J208SC/QMPX13J208SEB/QMPX13J208SEC/QMPX13J208SEM/QMPX13J208SEN/QMPX13J208SEO/QMPX13J208SET/QMPX13J208SM/QMPX13J208SN/QMPX13J208SO/QMPX13J208ST,Eccentric,Four-Bolt Pillow Block,0883450092920/0883450092937/0883450092951/0883450092968/0883450092975/0883450092982/0883450092999/0883450093002/0883450159340/0883450160070/0883450252638/0883450253055,3 in/76.2 mm,6.05 in/153.7 mm,3.62 in/91.9 mm,6.94 in/176.3 mm,9.56 in/242.8 mm,2.63 in/66.8 mm,11.25 in/285.8 mm,3.88 in/98.6 mm,1.22 in/31 mm,0.625 in/16 mm,1.24 in/31.5 mm,4.07 in/103.4 mm,2.13 in/54.1 mm,0.21 in/5.3 mm,3.37 in/85.6 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QMPF13J065S,22213 ,65 mm,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,1.75 in / 44.5 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/eccentric-solid-block-mounted-bearings/eccentric-four-bolt-pillow-block/qmpf13j065s,Mounted Bearing,22213,65 mm,Metric,QMPF13J065SB/QMPF13J065SC/QMPF13J065SEB/QMPF13J065SEC/QMPF13J065SEM/QMPF13J065SEN/QMPF13J065SEO/QMPF13J065SET/QMPF13J065SM/QMPF13J065SN/QMPF13J065SO/QMPF13J065ST,Eccentric,Four-Bolt Pillow Block,0883450083225/0883450083232/0883450083256/0883450083263/0883450083270/0883450083287/0883450083294/0883450083300/0883450155687/0883450156417/0883450250627/0883450251044,2.75 in/69.9 mm,5.8 in/147.3 mm,3.62 in/91.9 mm,6.88 in/174.8 mm,7.63 in/193.8 mm,1.75 in/44.5 mm,9.25 in/235 mm,3 in/76.2 mm,0.98 in/24.9 mm,0.625 in/16 mm,1.24 in/31.5 mm,3.63 in/92.2 mm,2.13 in/54.1 mm,0.21 in/5.3 mm,3.37 in/85.6 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
