Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,LinkToPart,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension RV,Dimension SV,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QVP11V115S,22211 ,1 15/16 in,2.25 in / 57.2 mm,6 in / 152.4 mm,7.13 in / 181.1 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvp11v115s,Mounted Bearing,22211,1 15/16 in,Imperial,QVP11V115SB/QVP11V115SC/QVP11V115SEB/QVP11V115SEC/QVP11V115SEM/QVP11V115SEN/QVP11V115SEO/QVP11V115SET/QVP11V115SM/QVP11V115SN/QVP11V115SO/QVP11V115ST,Single V-Lock,Two-Bolt Pillow Block,0883450014137/0883450032315/0883450094047/0883450094511/0883450106566/0883450106702/0883450112949/0883450113229/0883450125567/0883450125994/0883450137416/0883450137508,2.25 in/57.2 mm,4.81 in/122.2 mm,2.99 in/75.9 mm,6 in/152.4 mm,7.13 in/181.1 mm,8.88 in/225.6 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.23 in/82 mm,0.06 in/1.5 mm,3.14 in/79.8 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVPL11V115S,22211 ,1 15/16 in,2.25 in / 57.2 mm,5.93 in / 150.6 mm,6.36 in / 161.5 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpl11v115s,Mounted Bearing,22211,1 15/16 in,Imperial,QVPL11V115SB/QVPL11V115SC/QVPL11V115SEB/QVPL11V115SEC/QVPL11V115SEM/QVPL11V115SEN/QVPL11V115SEO/QVPL11V115SET/QVPL11V115SM/QVPL11V115SN/QVPL11V115SO/QVPL11V115ST,Single V-Lock,Two-Bolt Pillow Block,0883450032650/0883450032766/0883450095846/0883450096317/0883450107099/0883450107228/0883450113960/0883450114097/0883450127363/0883450127790/0883450137775/0883450137867,2.25 in/57.2 mm,4.81 in/122.2 mm,2.99 in/75.9 mm,5.93 in/150.6 mm,6.36 in/161.5 mm,8.38 in/212.9 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.23 in/82 mm,0.06 in/1.5 mm,3.14 in/79.8 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVPN11V115S,22211 ,1 15/16 in,2.75 in / 69.9 mm,6.5 in / 165.1 mm,8.7 in / 221 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpn11v115s,Mounted Bearing,22211,1 15/16 in,Imperial,QVPN11V115SB/QVPN11V115SC/QVPN11V115SEB/QVPN11V115SEC/QVPN11V115SEM/QVPN11V115SEN/QVPN11V115SEO/QVPN11V115SET/QVPN11V115SM/QVPN11V115SMT/QVPN11V115SN/QVPN11V115SO/QVPN11V115ST,Single V-Lock,Two-Bolt Pillow Block,0883450145183/0883450145459/0883450151191/0883450151344/0883450161879/0883450162067/0883450181327/0883450181556/0883450200585/0883450244268/0883450281133/0883450281300/0883450959810,2.75 in/69.9 mm,5.33 in/135.4 mm,2.99 in/75.9 mm,6.5 in/165.1 mm,8.7 in/221 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.19 in/81 mm,0.04 in/1 mm,3.14 in/79.8 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVPA11V115S,22211 ,1 15/16 in,2.75 in / 69.9 mm,6.5 in / 155.1 mm,8.7 in / 221 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpa11v115s,Mounted Bearing,22211,1 15/16 in,Imperial,QVPA11V115SB/QVPA11V115SC/QVPA11V115SEB/QVPA11V115SEC/QVPA11V115SEM/QVPA11V115SEN/QVPA11V115SEO/QVPA11V115SET/QVPA11V115SM/QVPA11V115SN/QVPA11V115SO/QVPA11V115ST,Single V-Lock,Two-Bolt Pillow Block,883450146296/883450146449/883450151795/883450151948/883450164474/883450166843/883450182003/883450182997/883450256902/883450259576/883450281751/883450281904,2.75 in/69.9 mm,5.33 in/135.4 mm,2.99 in/75.9 mm,6.5 in/155.1 mm,8.7 in/221 mm,9.88 in/250.8 mm,2.38 in/60.3 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.58 in/65.7 mm,0.26 in/6.7 mm,2.32 in/59 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVSN11V115S,22211 ,1 15/16 in,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvsn11v115s,Mounted Bearing,22211,1 15/16 in,Imperial,QVSN11V115SB/QVSN11V115SC/QVSN11V115SEB/QVSN11V115SEC/QVSN11V115SEM/QVSN11V115SEN/QVSN11V115SEO/QVSN11V115SET/QVSN11V115SM/QVSN11V115SN/QVSN11V115SO/QVSN11V115ST,Single V-Lock,Two-Bolt Pillow Block,0883450097611/0883450098243/0883450107617/0883450107808/0883450114486/0883450114684/0883450129091/0883450129763/0883450138123/0883450138253/0883450357807/0883450357937,2.76 in/70 mm,5.35 in/136 mm,2.99 in/76 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,1 in/25 mm,0.625 in/16 mm,3.35 in/85 mm,0.21 in/5.3 mm,3.14 in/79.8 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVP11V050S,22211 ,50 mm,2.25 in / 57.2 mm,6 in / 152.4 mm,7.13 in / 181.1 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvp11v050s,Mounted Bearing,22211,50 mm,Metric,QVP11V050SB/QVP11V050SC/QVP11V050SEB/QVP11V050SEC/QVP11V050SEM/QVP11V050SEN/QVP11V050SEO/QVP11V050SET/QVP11V050SM/QVP11V050SN/QVP11V050SO/QVP11V050ST,Single V-Lock,Two-Bolt Pillow Block,0883450014151/0883450032346/0883450094146/0883450094610/0883450106597/0883450106726/0883450113007/0883450113281/0883450125666/0883450126090/0883450137430/0883450137522,2.25 in/57.2 mm,4.81 in/122.2 mm,2.99 in/75.9 mm,6 in/152.4 mm,7.13 in/181.1 mm,8.88 in/225.6 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.23 in/82 mm,0.06 in/1.5 mm,3.14 in/79.8 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVPL11V050S,22211 ,50 mm,2.25 in / 57.2 mm,5.93 in / 150.6 mm,6.36 in / 161.5 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpl11v050s,Mounted Bearing,22211,50 mm,Metric,QVPL11V050SB/QVPL11V050SC/QVPL11V050SEB/QVPL11V050SEC/QVPL11V050SEM/QVPL11V050SEN/QVPL11V050SEO/QVPL11V050SET/QVPL11V050SM/QVPL11V050SN/QVPL11V050SO/QVPL11V050ST,Single V-Lock,Two-Bolt Pillow Block,0883450032674/0883450032780/0883450095945/0883450096416/0883450107129/0883450107259/0883450113984/0883450114127/0883450127462/0883450127899/0883450137799/0883450137881,2.25 in/57.2 mm,4.81 in/122.2 mm,2.99 in/75.9 mm,5.93 in/150.6 mm,6.36 in/161.5 mm,8.38 in/212.9 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.23 in/82 mm,0.06 in/1.5 mm,3.14 in/79.8 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVPN11V050S,22211 ,50 mm,2.75 in / 69.9 mm,6.5 in / 165.1 mm,8.7 in / 221 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpn11v050s,Mounted Bearing,22211,50 mm,Metric,QVPN11V050SB/QVPN11V050SC/QVPN11V050SEB/QVPN11V050SEC/QVPN11V050SEM/QVPN11V050SEN/QVPN11V050SEO/QVPN11V050SET/QVPN11V050SM/QVPN11V050SN/QVPN11V050SO/QVPN11V050ST,Single V-Lock,Two-Bolt Pillow Block,0883450145176/0883450145442/0883450151184/0883450151337/0883450161862/0883450162050/0883450181310/0883450181549/0883450200578/0883450240727/0883450281126/0883450281294,2.75 in/69.9 mm,5.33 in/135.4 mm,2.99 in/75.9 mm,6.5 in/165.1 mm,8.7 in/221 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.19 in/81 mm,0.04 in/1 mm,3.14 in/79.8 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVPA11V050S,22211 ,50 mm,2.75 in / 69.9 mm,6.5 in / 155.1 mm,8.7 in / 221 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvpa11v050s,Mounted Bearing,22211,50 mm,Metric,QVPA11V050SB/QVPA11V050SC/QVPA11V050SEB/QVPA11V050SEC/QVPA11V050SEM/QVPA11V050SEN/QVPA11V050SEO/QVPA11V050SET/QVPA11V050SM/QVPA11V050SN/QVPA11V050SO/QVPA11V050ST,Single V-Lock,Two-Bolt Pillow Block,883450146289/883450146432/883450151788/883450151931/883450164467/883450166836/883450181990/883450182980/883450256896/883450259569/883450281744/883450281898,2.75 in/69.9 mm,5.33 in/135.4 mm,2.99 in/75.9 mm,6.5 in/155.1 mm,8.7 in/221 mm,9.88 in/250.8 mm,2.38 in/60.3 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.58 in/65.7 mm,0.26 in/6.7 mm,2.32 in/59 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVSN11V050S,22211 ,50 mm,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-v-lock-solid-block-mounted-bearings/single-v-lock-two-bolt-pillow-block/qvsn11v050s,Mounted Bearing,22211,50 mm,Metric,QVSN11V050SB/QVSN11V050SC/QVSN11V050SEB/QVSN11V050SEC/QVSN11V050SEM/QVSN11V050SEN/QVSN11V050SEO/QVSN11V050SET/QVSN11V050SM/QVSN11V050SN/QVSN11V050SO/QVSN11V050ST,Single V-Lock,Two-Bolt Pillow Block,0883450097543/0883450098212/0883450107600/0883450107792/0883450114462/0883450114660/0883450129060/0883450129695/0883450138116/0883450138246/0883450357791/0883450357920,2.76 in/70 mm,5.35 in/136 mm,2.99 in/76 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,1 in/25 mm,0.625 in/16 mm,3.35 in/85 mm,0.21 in/5.3 mm,3.14 in/79.8 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
