Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension RV,Dimension SV,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QVPG11V115S,22211 ,1 15/16 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,1 15/16 in,Imperial,QVPG11V115SB/QVPG11V115SC/QVPG11V115SEB/QVPG11V115SEC/QVPG11V115SEM/QVPG11V115SEN/QVPG11V115SEO/QVPG11V115SET/QVPG11V115SM/QVPG11V115SN/QVPG11V115SO/QVPG11V115ST,Single V-Lock,Four-Bolt Pillow Block,0883450147118/0883450147354/0883450152396/0883450152549/0883450174626/0883450174855/0883450183604/0883450183758/0883450263610/0883450264723/0883450282352/0883450282505,2.75 in/69.9 mm,5.31 in/134.9 mm,2.99 in/75.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.02 in/0.5 mm,3.14 in/79.8 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVPH11V115S,22211 ,1 15/16 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,1 15/16 in,Imperial,QVPH11V115SB/QVPH11V115SC/QVPH11V115SEB/QVPH11V115SEC/QVPH11V115SEM/QVPH11V115SEN/QVPH11V115SEO/QVPH11V115SET/QVPH11V115SM/QVPH11V115SN/QVPH11V115SO/QVPH11V115ST,Single V-Lock,Four-Bolt Pillow Block,0883450148108/0883450148344/0883450152990/0883450153140/0883450175302/0883450175456/0883450185127/0883450185356/0883450277495/0883450278348/0883450282956/0883450283106,2.75 in/69.9 mm,5.31 in/134.9 mm,2.99 in/75.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.02 in/0.5 mm,3.14 in/79.8 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVPG11V050S,22211 ,50 mm,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,50 mm,Metric,QVPG11V050SB/QVPG11V050SC/QVPG11V050SEB/QVPG11V050SEC/QVPG11V050SEM/QVPG11V050SEN/QVPG11V050SEO/QVPG11V050SET/QVPG11V050SM/QVPG11V050SN/QVPG11V050SO/QVPG11V050ST,Single V-Lock,Four-Bolt Pillow Block,0883450147101/0883450147347/0883450152389/0883450152532/0883450174619/0883450174848/0883450183598/0883450183741/0883450263603/0883450264716/0883450282345/0883450282499,2.75 in/69.9 mm,5.31 in/134.9 mm,2.99 in/75.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.02 in/0.5 mm,3.14 in/79.8 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVPH11V050S,22211 ,50 mm,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,50 mm,Metric,QVPH11V050SB/QVPH11V050SC/QVPH11V050SEB/QVPH11V050SEC/QVPH11V050SEM/QVPH11V050SEN/QVPH11V050SEO/QVPH11V050SET/QVPH11V050SM/QVPH11V050SN/QVPH11V050SO/QVPH11V050ST,Single V-Lock,Four-Bolt Pillow Block,0883450148092/0883450148337/0883450152983/0883450153133/0883450175296/0883450175449/0883450185110/0883450185349/0883450277488/0883450278331/0883450282949/0883450283090,2.75 in/69.9 mm,5.31 in/134.9 mm,2.99 in/75.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.02 in/0.5 mm,3.14 in/79.8 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVPG11V200S,22211 ,2 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,QVPG11V200SB/QVPG11V200SC/QVPG11V200SEB/QVPG11V200SEC/QVPG11V200SEM/QVPG11V200SEN/QVPG11V200SEO/QVPG11V200SET/QVPG11V200SM/QVPG11V200SN/QVPG11V200SO/QVPG11V200ST,Single V-Lock,Four-Bolt Pillow Block,0883450147132/0883450147361/0883450152402/0883450152556/0883450174633/0883450174862/0883450183611/0883450183765/0883450263627/0883450264730/0883450282369/0883450282512,2.75 in/69.9 mm,5.31 in/134.9 mm,2.99 in/75.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.02 in/0.5 mm,3.14 in/79.8 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVPH11V200S,22211 ,2 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,QVPH11V200SB/QVPH11V200SC/QVPH11V200SEB/QVPH11V200SEC/QVPH11V200SEM/QVPH11V200SEN/QVPH11V200SEO/QVPH11V200SET/QVPH11V200SM/QVPH11V200SN/QVPH11V200SO/QVPH11V200ST,Single V-Lock,Four-Bolt Pillow Block,0883450148139/0883450148351/0883450153003/0883450153157/0883450175319/0883450175623/0883450185134/0883450185363/0883450277501/0883450278355/0883450282963/0883450283113,2.75 in/69.9 mm,5.31 in/134.9 mm,2.99 in/75.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.02 in/0.5 mm,3.14 in/79.8 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVPH13V055S,22213 ,55 mm,3 in / 76.2 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,55 mm,Metric,QVPH13V055SB/QVPH13V055SC/QVPH13V055SEB/QVPH13V055SEC/QVPH13V055SEM/QVPH13V055SEN/QVPH13V055SEO/QVPH13V055SET/QVPH13V055SM/QVPH13V055SN/QVPH13V055SO/QVPH13V055ST,Single V-Lock,Four-Bolt Pillow Block,0883450148160/0883450148429/0883450153034/0883450153188/0883450175340/0883450175814/0883450185240/0883450185394/0883450277532/0883450278423/0883450282994/0883450283144,3 in/76.2 mm,5.95 in/151.1 mm,3.16 in/80.3 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,2 in/50.8 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.23 in/31.2 mm,0.5 in/12 mm,3.64 in/92.5 mm,0.09 in/2.3 mm,3.36 in/85.3 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVPG12V055S,22212 ,55 mm,2.76 in / 70 mm,7 in / 177.8 mm,8.63 in / 219.2 mm,39000 lbf / 174000 N,38100 lbf / 169000 N,,Mounted Bearing,22212,55 mm,Metric,QVPG12V055SB/QVPG12V055SC/QVPG12V055SEB/QVPG12V055SEC/QVPG12V055SEM/QVPG12V055SEN/QVPG12V055SEO/QVPG12V055SET/QVPG12V055SM/QVPG12V055SN/QVPG12V055SO/QVPG12V055ST,Single V-Lock,Four-Bolt Pillow Block,883450420747/883450420754/883450420761/883450420778/883450420785/883450420792/883450420808/883450420815/883450420822/883450420839/883450420846/883450420853,2.76 in/70 mm,5.53 in/140.5 mm,3.15 in/80 mm,7 in/177.8 mm,8.63 in/219.2 mm,1.38 in/35.1 mm,10 in/254 mm,2.75 in/69.9 mm,1.25 in/31.8 mm,0.5 in/12 mm,3.39 in/86.1 mm,0.02 in/0.5 mm,3.18 in/80.8 mm,39000 lbf/174000 N,38100 lbf/169000 N,0.24,2.84,4.23,2000 rpm,3500 rpm,1650 rpm,2000 rpm,3000 rpm,1550 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVPG13V203S,22213 ,2 3/16 in,3.15 in / 80 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,QVPG13V203SB/QVPG13V203SC/QVPG13V203SEB/QVPG13V203SEC/QVPG13V203SEM/QVPG13V203SEN/QVPG13V203SEO/QVPG13V203SET/QVPG13V203SM/QVPG13V203SN/QVPG13V203SO/QVPG13V203ST,Single V-Lock,Four-Bolt Pillow Block,0883450147149/0883450147392/0883450152419/0883450152563/0883450174640/0883450174879/0883450183628/0883450183772/0883450263634/0883450264747/0883450282376/0883450282529,3.15 in/80 mm,6.1 in/154.9 mm,3.16 in/80.3 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.89 in/48 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.64 in/92.5 mm,0.09 in/2.3 mm,3.36 in/85.3 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVPH13V203S,22213 ,2 3/16 in,3 in / 76.2 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,QVPH13V203SB/QVPH13V203SC/QVPH13V203SEB/QVPH13V203SEC/QVPH13V203SEM/QVPH13V203SEN/QVPH13V203SEO/QVPH13V203SET/QVPH13V203SM/QVPH13V203SN/QVPH13V203SO/QVPH13V203ST,Single V-Lock,Four-Bolt Pillow Block,0883450148146/0883450148382/0883450153010/0883450153164/0883450175326/0883450175630/0883450185141/0883450185370/0883450277518/0883450278409/0883450282970/0883450283120,3 in/76.2 mm,5.95 in/151.1 mm,3.16 in/80.3 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,2 in/50.8 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.23 in/31.2 mm,0.5 in/12 mm,3.64 in/92.5 mm,0.09 in/2.3 mm,3.36 in/85.3 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
