Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Locking Style,Housing Construction,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension M,Dimension S,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max,Full Timken Part Number,UPC Code
TASD09K107S,22209 ,1 7/16 in,2.88 in / 73.2 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,Mounted Bearing,22209,1 7/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.88 in/73.2 mm,4.88 in/124 mm,2.56 in/65 mm,6.88 in/174.8 mm,7.63 in/193.8 mm,9 in/228.6 mm,2.03 in/51.7 mm,1.14 in/29 mm,0.5 in/12 mm,2.23 in/56.6 mm,1.21 in/30.7 mm,1.98 in/50.2 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm,,
TAPN09K107S,22209 ,1 7/16 in,2.362 in / 60 mm,6.25 in / 158.8 mm,7 in / 177.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,Mounted Bearing,22209,1 7/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.362 in/60 mm,4.25 in/108 mm,2.56 in/65 mm,6.25 in/158.8 mm,7 in/177.8 mm,8.25 in/209.6 mm,2.1 in/53.3 mm,1.14 in/29 mm,0.5 in/12 mm,2.26 in/57.4 mm,1.21 in/30.7 mm,1.98 in/50.3 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm,,
TAPA09K107S,22209 ,1 7/16 in,2.25 in / 57.2 mm,6.25 in / 158.8 mm,7 in / 177.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,Mounted Bearing,22209,1 7/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.25 in/57.2 mm,4.25 in/108 mm,2.56 in/65 mm,6.25 in/158.8 mm,7 in/177.8 mm,8.25 in/209.6 mm,2.1 in/53.3 mm,1.14 in/29 mm,0.5 in/12 mm,2.26 in/57.4 mm,1.21 in/30.7 mm,1.98 in/50.3 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm,,
TADI09K107S,22209 ,1 7/16 in,2.38 in / 60.5 mm,6.25 in / 158.8 mm,6.63 in / 168.4 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,Mounted Bearing,22209,1 7/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.38 in/60.5 mm,4.72 in/119.8 mm,2.56 in/65 mm,6.25 in/158.8 mm,6.63 in/168.4 mm,8 in/203.2 mm,2.03 in/51.7 mm,1.14 in/29 mm,0.5 in/12 mm,2.23 in/56.6 mm,1.21 in/30.7 mm,1.98 in/50.3 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm,TADI09K107SB/TADI09K107SC/TADI09K107SEB/TADI09K107SEC/TADI09K107SEM/TADI09K107SEN/TADI09K107SEO/TADI09K107SET/TADI09K107SM/TADI09K107SN/TADI09K107SO/TADI09K107ST,
DVP09K107S,22209 ,1 7/16 in,1.88 in / 47.8 mm,4.69 in / 119.1 mm,6 in / 152.4 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,Mounted Bearing,22209,1 7/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,1.88 in/47.8 mm,3.88 in/98.6 mm,2.56 in/65 mm,4.69 in/119.1 mm,6 in/152.4 mm,6.88 in/174.8 mm,2.1 in/53.3 mm,1 in/25.4 mm,0.5 in/12 mm,2.26 in/57.4 mm,1.21 in/30.7 mm,1.98 in/50.3 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm,DVP09K107SB/DVP09K107SC/DVP09K107SEB/DVP09K107SEC/DVP09K107SEM/DVP09K107SEN/DVP09K107SEO/DVP09K107SET/DVP09K107SM/DVP09K107SN/DVP09K107SO/DVP09K107ST,
TASD09K108S,22209 ,1 1/2 in,2.88 in / 73.2 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,Mounted Bearing,22209,1 1/2 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.88 in/73.2 mm,4.88 in/124 mm,2.56 in/65 mm,6.88 in/174.8 mm,7.63 in/193.8 mm,9 in/228.6 mm,2.03 in/51.7 mm,1.14 in/29 mm,0.5 in/12 mm,2.23 in/56.6 mm,1.21 in/30.7 mm,1.98 in/50.2 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm,,
TAPN09K108S,22209 ,1 1/2 in,2.362 in / 60 mm,6.25 in / 158.8 mm,7 in / 177.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,Mounted Bearing,22209,1 1/2 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.362 in/60 mm,4.25 in/108 mm,2.56 in/65 mm,6.25 in/158.8 mm,7 in/177.8 mm,8.25 in/209.6 mm,2.1 in/53.3 mm,1.14 in/29 mm,0.5 in/12 mm,2.26 in/57.4 mm,1.21 in/30.7 mm,1.98 in/50.3 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm,,
TAPA09K108S,22209 ,1 1/2 in,2.25 in / 57.2 mm,6.25 in / 158.8 mm,7 in / 177.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,Mounted Bearing,22209,1 1/2 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.25 in/57.2 mm,4.25 in/108 mm,2.56 in/65 mm,6.25 in/158.8 mm,7 in/177.8 mm,8.25 in/209.6 mm,2.1 in/53.3 mm,1.14 in/29 mm,0.5 in/12 mm,2.26 in/57.4 mm,1.21 in/30.7 mm,1.98 in/50.3 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm,,
TADI09K108S,22209 ,1 1/2 in,2.63 in / 66.8 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,Mounted Bearing,22209,1 1/2 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.63 in/66.8 mm,5 in/127 mm,2.56 in/65 mm,6.88 in/174.8 mm,7.63 in/193.8 mm,9 in/228.6 mm,2.03 in/51.7 mm,1.25 in/31.8 mm,0.5 in/12 mm,2.23 in/56.6 mm,1.21 in/30.7 mm,1.98 in/50.3 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm,TADI09K108SB/TADI09K108SC/TADI09K108SEB/TADI09K108SEC/TADI09K108SEM/TADI09K108SEN/TADI09K108SEO/TADI09K108SET/TADI09K108SM/TADI09K108SN/TADI09K108SO/TADI09K108ST,
DVP09K108S,22209 ,1 1/2 in,2.13 in / 54.1 mm,4.69 in / 119.1 mm,6.5 in / 165.1 mm,24200 lbf / 108000 N,24500 lbf / 109000 N,,Mounted Bearing,22209,1 1/2 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.13 in/54.1 mm,4.13 in/104.9 mm,2.56 in/65 mm,4.69 in/119.1 mm,6.5 in/165.1 mm,7.88 in/200.2 mm,2.1 in/53.3 mm,1 in/25.4 mm,0.5 in/12 mm,2.26 in/57.4 mm,1.21 in/30.7 mm,1.98 in/50.3 mm,24200 lbf/108000 N,24500 lbf/109000 N,0.26,2.64,3.93,2700 rpm,4500 rpm,1950 rpm,2700 rpm,4000 rpm,1950 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0014,0.0022,0.0014 in/0.035 mm,0.0022 in/0.055 mm,DVP09K108SB/DVP09K108SC/DVP09K108SEB/DVP09K108SEC/DVP09K108SEM/DVP09K108SEN/DVP09K108SEO/DVP09K108SET/DVP09K108SM/DVP09K108SN/DVP09K108SO/DVP09K108ST,
