Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,Bolt Hole Spacing - Across,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension M,Dimension S,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Pre Install Clearance Min,Pre Install Clearance Max,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max
TAPG11K115S,22211 ,1 15/16 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.57 in / 39.9 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,1 15/16 in,Imperial,TAPG11K115SB/TAPG11K115SC/TAPG11K115SEB/TAPG11K115SEC/TAPG11K115SEM/TAPG11K115SEN/TAPG11K115SEO/TAPG11K115SET/TAPG11K115SM/TAPG11K115SN/TAPG11K115SO/TAPG11K115ST,Tapered Adapter,Four-Bolt Pillow Block,0883450126472/0883450126489/0883450126502/0883450126519/0883450126526/0883450126533/0883450126540/0883450126557/0883450198042/0883450198240/0883450275545/0883450275743,2.75 in/69.9 mm,5.31 in/134.9 mm,2.95 in/74.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.75 in/69.9 mm,1.4 in/35.6 mm,2.32 in/58.9 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm,,
TAPH11K115S,22211 ,1 15/16 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.57 in / 39.9 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,1 15/16 in,Imperial,TAPH11K115SB/TAPH11K115SC/TAPH11K115SEB/TAPH11K115SEC/TAPH11K115SEM/TAPH11K115SEN/TAPH11K115SEO/TAPH11K115SET/TAPH11K115SM/TAPH11K115SN/TAPH11K115SO/TAPH11K115ST,Tapered Adapter,Four-Bolt Pillow Block,0883450128476/0883450128483/0883450128506/0883450128513/0883450128520/0883450128537/0883450128544/0883450128551/0883450198448/0883450198646/0883450275941/0883450276146,2.75 in/69.9 mm,5.31 in/134.9 mm,2.95 in/74.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.75 in/69.9 mm,1.4 in/35.6 mm,2.32 in/58.9 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm,,
TAPG11K050S,22211 ,50 mm,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.57 in / 39.9 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,50 mm,Metric,TAPG11K050SB/TAPG11K050SC/TAPG11K050SEB/TAPG11K050SEC/TAPG11K050SEM/TAPG11K050SEN/TAPG11K050SEO/TAPG11K050SET/TAPG11K050SM/TAPG11K050SN/TAPG11K050SO/TAPG11K050ST,Tapered Adapter,Four-Bolt Pillow Block,0883450126373/0883450126380/0883450126403/0883450126410/0883450126427/0883450126434/0883450126441/0883450126458/0883450198066/0883450198264/0883450275569/0883450275767,2.75 in/69.9 mm,5.31 in/134.9 mm,2.95 in/74.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.75 in/69.9 mm,1.4 in/35.6 mm,2.32 in/58.9 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm,,
TAPH11K050S,22211 ,50 mm,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.57 in / 39.9 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,50 mm,Metric,TAPH11K050SB/TAPH11K050SC/TAPH11K050SEB/TAPH11K050SEC/TAPH11K050SEM/TAPH11K050SEN/TAPH11K050SEO/TAPH11K050SET/TAPH11K050SM/TAPH11K050SN/TAPH11K050SO/TAPH11K050ST,Tapered Adapter,Four-Bolt Pillow Block,0883450128377/0883450128384/0883450128407/0883450128414/0883450128421/0883450128438/0883450128445/0883450128452/0883450198462/0883450198660/0883450275965/0883450276160,2.75 in/69.9 mm,5.31 in/134.9 mm,2.95 in/74.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.75 in/69.9 mm,1.4 in/35.6 mm,2.32 in/58.9 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm,,
TAPG11K200S,22211 ,2 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.57 in / 39.9 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,TAPG11K200SB/TAPG11K200SC/TAPG11K200SEB/TAPG11K200SEC/TAPG11K200SEM/TAPG11K200SEN/TAPG11K200SEO/TAPG11K200SET/TAPG11K200SM/TAPG11K200SN/TAPG11K200SO/TAPG11K200ST,Tapered Adapter,Four-Bolt Pillow Block,0883450126571/0883450126588/0883450126601/0883450126618/0883450126625/0883450126632/0883450126649/0883450126656/0883450198059/0883450198257/0883450275552/0883450275750,2.75 in/69.9 mm,5.31 in/134.9 mm,2.95 in/74.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.75 in/69.9 mm,1.4 in/35.6 mm,2.32 in/58.9 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm,,
TAPH11K200S,22211 ,2 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.57 in / 39.9 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,TAPH11K200SB/TAPH11K200SC/TAPH11K200SEB/TAPH11K200SEC/TAPH11K200SEM/TAPH11K200SEN/TAPH11K200SEO/TAPH11K200SET/TAPH11K200SM/TAPH11K200SN/TAPH11K200SO/TAPH11K200ST,Tapered Adapter,Four-Bolt Pillow Block,0883450128575/0883450128582/0883450128605/0883450128612/0883450128629/0883450128636/0883450128643/0883450128650/0883450198455/0883450198653/0883450275958/0883450276153,2.75 in/69.9 mm,5.31 in/134.9 mm,2.95 in/74.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.75 in/69.9 mm,1.4 in/35.6 mm,2.32 in/58.9 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm,,
TAPG12K055S,22212 ,55 mm,2.756 in / 70 mm,7 in / 177.8 mm,8.63 in / 219.2 mm,1.38 in / 35.31 mm,39000 lbf / 174000 N,38100 lbf / 169000 N,,Mounted Bearing,22212,55 mm,Metric,,Tapered Adapter,Four-Bolt Pillow Block,,2.756 in/70 mm,5.53 in/140.5 mm,3.14 in/79.8 mm,7 in/177.8 mm,8.63 in/219.2 mm,1.38 in/35.31 mm,10 in/254 mm,2.75 in/69.9 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.86 in/72.6 mm,1.48 in/37.6 mm,2.44 in/62 mm,39000 lbf/174000 N,38100 lbf/169000 N,0.24,2.84,4.23,2000 rpm,3500 rpm,1650 rpm,2000 rpm,3000 rpm,1550 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030 in/0.075 mm,0.0037 in/0.094 mm,0.0030,0.0037
TAPG13K203S,22213 ,2 3/16 in,3.15 in / 80 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.89 in / 48 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,TAPG13K203SB/TAPG13K203SC/TAPG13K203SEB/TAPG13K203SEC/TAPG13K203SEM/TAPG13K203SEN/TAPG13K203SEO/TAPG13K203SET/TAPG13K203SM/TAPG13K203SN/TAPG13K203SO/TAPG13K203ST,Tapered Adapter,Four-Bolt Pillow Block,0883450126779/0883450126786/0883450126809/0883450126816/0883450126823/0883450126830/0883450126847/0883450126854/0883450198073/0883450198271/0883450275576/0883450275774,3.15 in/80 mm,6.1 in/154.9 mm,3.35 in/85.1 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.89 in/48 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.19 in/81 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm,,
TAPH13K203S,22213 ,2 3/16 in,3 in / 76.2 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,2 in / 50.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,TAPH13K203SB/TAPH13K203SC/TAPH13K203SEB/TAPH13K203SEC/TAPH13K203SEM/TAPH13K203SEN/TAPH13K203SEO/TAPH13K203SET/TAPH13K203SM/TAPH13K203SN/TAPH13K203SO/TAPH13K203ST,Tapered Adapter,Four-Bolt Pillow Block,0883450128773/0883450128780/0883450128803/0883450128810/0883450128827/0883450128834/0883450128841/0883450128858/0883450198479/0883450198677/0883450275972/0883450276177,3 in/76.2 mm,5.95 in/151.1 mm,3.35 in/85.1 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,2 in/50.8 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.23 in/31.2 mm,0.5 in/12 mm,3.19 in/81 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm,,
TAPG13K204S,22213 ,2 1/4 in,3.15 in / 80 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,1.89 in / 48 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 1/4 in,Imperial,TAPG13K204SB/TAPG13K204SC/TAPG13K204SEB/TAPG13K204SEC/TAPG13K204SEM/TAPG13K204SEN/TAPG13K204SEO/TAPG13K204SET/TAPG13K204SM/TAPG13K204SN/TAPG13K204SO/TAPG13K204ST,Tapered Adapter,Four-Bolt Pillow Block,0883450126878/0883450126885/0883450126908/0883450126915/0883450126922/0883450126939/0883450126946/0883450126953/0883450198080/0883450198288/0883450275583/0883450275781,3.15 in/80 mm,6.1 in/154.9 mm,3.35 in/85.1 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.89 in/48 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.19 in/81 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0030 in/0.076 mm,0.0037 in/0.094 mm,,
