Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension RVV,Dimension SVV,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QVVP11V115S,22211 ,1 15/16 in,2.25 in / 57.2 mm,6 in / 152.4 mm,7.13 in / 181.1 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,1 15/16 in,Imperial,QVVP11V115SB/QVVP11V115SC/QVVP11V115SEB/QVVP11V115SEC/QVVP11V115SEM/QVVP11V115SEN/QVVP11V115SEO/QVVP11V115SET/QVVP11V115SM/QVVP11V115SN/QVVP11V115SO/QVVP11V115ST,Double V-Lock,Two-Bolt Pillow Block,0883450032438/0883450032544/0883450094948/0883450095419/0883450106832/0883450106962/0883450113489/0883450113762/0883450126465/0883450126892/0883450137591/0883450137683,2.25 in/57.2 mm,4.81 in/122.2 mm,2.99 in/75.9 mm,6 in/152.4 mm,7.13 in/181.1 mm,8.88 in/225.6 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.23 in/82 mm,0.79 in/20.1 mm,4.02 in/102.1 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPL11V115S,22211 ,1 15/16 in,2.25 in / 57.2 mm,5.93 in / 150.6 mm,6.36 in / 161.5 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,1 15/16 in,Imperial,QVVPL11V115SB/QVVPL11V115SC/QVVPL11V115SEB/QVVPL11V115SEC/QVVPL11V115SEM/QVVPL11V115SEN/QVVPL11V115SEO/QVVPL11V115SET/QVVPL11V115SM/QVVPL11V115SMNG/QVVPL11V115SN/QVVPL11V115SO/QVVPL11V115ST,Double V-Lock,Two-Bolt Pillow Block,0883450096744/0883450097215/0883450107365/0883450107495/0883450114226/0883450114363/0883450128261/0883450128698/0883450137959/0883450138048/0883450357470/0883450357586/0883450459136,2.25 in/57.2 mm,4.81 in/122.2 mm,2.99 in/75.9 mm,5.93 in/150.6 mm,6.36 in/161.5 mm,8.38 in/212.9 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.23 in/82 mm,0.79 in/20.1 mm,4.02 in/102.1 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPN11V115S,22211 ,1 15/16 in,2.75 in / 69.9 mm,6.5 in / 165.1 mm,8.7 in / 221 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,1 15/16 in,Imperial,QVVPN11V115SB/QVVPN11V115SC/QVVPN11V115SEB/QVVPN11V115SEC/QVVPN11V115SEM/QVVPN11V115SEN/QVVPN11V115SEO/QVVPN11V115SET/QVVPN11V115SETHT/QVVPN11V115SM/QVVPN11V115SN/QVVPN11V115SO/QVVPN11V115ST/QVVPN11V115STHT,Double V-Lock,Two-Bolt Pillow Block,0883450181709/0883450356138/0883450356145/0883450356152/0883450356169/0883450356176/0883450356183/0883450356190/0883450356206/0883450356213/0883450356220/0883450356237/0883450461573/0883450461641,2.75 in/69.9 mm,5.33 in/135.4 mm,2.99 in/75.9 mm,6.5 in/165.1 mm,8.7 in/221 mm,9.88 in/251 mm,2.38 in/60.5 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.2 in/81.3 mm,0.82 in/20.8 mm,4.02 in/102.1 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVSN11V115S,22211 ,1 15/16 in,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,1 15/16 in,Imperial,QVVSN11V115SB/QVVSN11V115SC/QVVSN11V115SEB/QVVSN11V115SEC/QVVSN11V115SEM/QVVSN11V115SEN/QVVSN11V115SEO/QVVSN11V115SET/QVVSN11V115SM/QVVSN11V115SN/QVVSN11V115SO/QVVSN11V115ST,Double V-Lock,Two-Bolt Pillow Block,0883450087643/0883450098915/0883450099547/0883450108003/0883450108201/0883450114868/0883450114998/0883450130370/0883450130509/0883450138420/0883450138734/0883450358064,2.76 in/70 mm,5.35 in/136 mm,2.99 in/76 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,1 in/25 mm,0.625 in/16 mm,3.35 in/85 mm,0.67 in/17 mm,4.02 in/102 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVP11V050S,22211 ,50 mm,2.25 in / 57.2 mm,6 in / 152.4 mm,7.13 in / 181.1 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,50 mm,Metric,QVVP11V050SB/QVVP11V050SC/QVVP11V050SEB/QVVP11V050SEC/QVVP11V050SEM/QVVP11V050SEN/QVVP11V050SEO/QVVP11V050SET/QVVP11V050SM/QVVP11V050SN/QVVP11V050SO/QVVP11V050ST/QVVP11V050STHT/QVVP11V050STNG,Double V-Lock,Two-Bolt Pillow Block,0883450032452/0883450032568/0883450095044/0883450095518/0883450106863/0883450107006/0883450113540/0883450113823/0883450126564/0883450126991/0883450137614/0883450137706/0883450952736/0883450959360,2.25 in/57.2 mm,4.81 in/122.2 mm,2.99 in/75.9 mm,6 in/152.4 mm,7.13 in/181.1 mm,8.88 in/225.6 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.23 in/82 mm,0.79 in/20.1 mm,4.02 in/102.1 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPL11V050S,22211 ,50 mm,2.25 in / 57.2 mm,5.93 in / 150.6 mm,6.36 in / 161.5 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,50 mm,Metric,QVVPL11V050SB/QVVPL11V050SC/QVVPL11V050SEB/QVVPL11V050SEC/QVVPL11V050SEM/QVVPL11V050SEN/QVVPL11V050SEO/QVVPL11V050SET/QVVPL11V050SM/QVVPL11V050SN/QVVPL11V050SO/QVVPL11V050ST,Double V-Lock,Two-Bolt Pillow Block,0883450096843/0883450097314/0883450107389/0883450107525/0883450114264/0883450114394/0883450128360/0883450128797/0883450137973/0883450138062/0883450357494/0883450357746,2.25 in/57.2 mm,4.81 in/122.2 mm,2.99 in/75.9 mm,5.93 in/150.6 mm,6.36 in/161.5 mm,8.38 in/212.9 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.23 in/82 mm,0.79 in/20.1 mm,4.02 in/102.1 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPN11V050S,22211 ,50 mm,2.75 in / 69.9 mm,6.5 in / 165.1 mm,8.7 in / 221 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,50 mm,Metric,QVVPN11V050SB/QVVPN11V050SC/QVVPN11V050SEB/QVVPN11V050SEC/QVVPN11V050SEM/QVVPN11V050SEN/QVVPN11V050SEO/QVVPN11V050SET/QVVPN11V050SM/QVVPN11V050SN/QVVPN11V050SO/QVVPN11V050ST,Double V-Lock,Two-Bolt Pillow Block,0883450145985/0883450146135/0883450151481/0883450151634/0883450162586/0883450162791/0883450181693/0883450181846/0883450255103/0883450256339/0883450281447/0883450281591,2.75 in/69.9 mm,5.33 in/135.4 mm,2.99 in/75.9 mm,6.5 in/165.1 mm,8.7 in/221 mm,9.88 in/251 mm,2.38 in/60.5 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.2 in/81.3 mm,0.82 in/20.8 mm,4.02 in/102.1 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVSN11V050S,22211 ,50 mm,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,50 mm,Metric,QVVSN11V050SB/QVVSN11V050SC/QVVSN11V050SEB/QVVSN11V050SEC/QVVSN11V050SEM/QVVSN11V050SEN/QVVSN11V050SEO/QVVSN11V050SET/QVVSN11V050SM/QVVSN11V050SN/QVVSN11V050SO/QVVSN11V050ST,Double V-Lock,Two-Bolt Pillow Block,0883450087612/0883450098847/0883450099516/0883450107983/0883450108188/0883450114851/0883450114981/0883450130363/0883450130493/0883450138376/0883450138727/0883450358057,2.76 in/70 mm,5.35 in/136 mm,2.99 in/76 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,1 in/25 mm,0.625 in/16 mm,3.35 in/85 mm,0.67 in/17 mm,4.02 in/102 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVP11V200S,22211 ,2 in,2.25 in / 57.2 mm,6 in / 152.4 mm,7.13 in / 181.1 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,QVVP11V200SB/QVVP11V200SC/QVVP11V200SEB/QVVP11V200SEC/QVVP11V200SEM/QVVP11V200SEN/QVVP11V200SEO/QVVP11V200SET/QVVP11V200SM/QVVP11V200SMT/QVVP11V200SN/QVVP11V200SO/QVVP11V200ST,Double V-Lock,Two-Bolt Pillow Block,0883450032445/0883450032551/0883450095013/0883450095440/0883450106849/0883450106986/0883450113526/0883450113786/0883450126496/0883450126960/0883450137607/0883450137690/0883450472333,2.25 in/57.2 mm,4.81 in/122.2 mm,2.99 in/75.9 mm,6 in/152.4 mm,7.13 in/181.1 mm,8.88 in/225.6 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.08 in/78.2 mm,0.94 in/23.9 mm,4.02 in/102.1 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPL11V200S,22211 ,2 in,2.25 in / 57.2 mm,5.93 in / 150.6 mm,6.36 in / 161.5 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,QVVPL11V200SB/QVVPL11V200SC/QVVPL11V200SEB/QVVPL11V200SEC/QVVPL11V200SEM/QVVPL11V200SEN/QVVPL11V200SEO/QVVPL11V200SET/QVVPL11V200SM/QVVPL11V200SN/QVVPL11V200SO/QVVPL11V200ST/QVVPL11V200STHT,Double V-Lock,Two-Bolt Pillow Block,0883450096812/0883450097246/0883450107372/0883450107501/0883450114240/0883450114387/0883450128292/0883450128766/0883450137966/0883450138055/0883450357487/0883450357739/0883450463249,2.25 in/57.2 mm,4.81 in/122.2 mm,2.99 in/75.9 mm,5.93 in/150.6 mm,6.36 in/161.5 mm,8.38 in/212.9 mm,2.44 in/62 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.23 in/82 mm,0.79 in/20.1 mm,4.02 in/102.1 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
