Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension RVV,Dimension SVV,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QVVPG11V115S,22211 ,1 15/16 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,1 15/16 in,Imperial,QVVPG11V115SB/QVVPG11V115SC/QVVPG11V115SEB/QVVPG11V115SEC/QVVPG11V115SEM/QVVPG11V115SEN/QVVPG11V115SEO/QVVPG11V115SET/QVVPG11V115SM/QVVPG11V115SN/QVVPG11V115SO/QVVPG11V115ST,Double V-Lock,Four-Bolt Pillow Block,0883450147606/0883450147859/0883450152693/0883450152846/0883450175005/0883450175159/0883450183901/0883450184892/0883450265034/0883450276528/0883450282659/0883450282802,2.75 in/69.9 mm,5.31 in/134.9 mm,2.99 in/75.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.82 in/20.8 mm,4.02 in/102.1 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVVPH11V115S,22211 ,1 15/16 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,1 15/16 in,Imperial,QVVPH11V115SB/QVVPH11V115SC/QVVPH11V115SEB/QVVPH11V115SEC/QVVPH11V115SEM/QVVPH11V115SEN/QVVPH11V115SEO/QVVPH11V115SET/QVVPH11V115SM/QVVPH11V115SN/QVVPH11V115SO/QVVPH11V115ST,Double V-Lock,Four-Bolt Pillow Block,0883450148597/0883450148788/0883450153300/0883450153454/0883450176293/0883450176491/0883450185509/0883450185653/0883450279055/0883450279208/0883450283250/0883450283403,2.75 in/69.9 mm,5.31 in/134.9 mm,2.99 in/75.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.82 in/20.8 mm,4.02 in/102.1 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVVPG11V050S,22211 ,50 mm,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,50 mm,Metric,QVVPG11V050SB/QVVPG11V050SC/QVVPG11V050SEB/QVVPG11V050SEC/QVVPG11V050SEM/QVVPG11V050SEN/QVVPG11V050SEO/QVVPG11V050SET/QVVPG11V050SM/QVVPG11V050SN/QVVPG11V050SO/QVVPG11V050ST,Double V-Lock,Four-Bolt Pillow Block,0883450147590/0883450147842/0883450152686/0883450152839/0883450174992/0883450175142/0883450183895/0883450184885/0883450265027/0883450276511/0883450282642/0883450282796,2.75 in/69.9 mm,5.31 in/134.9 mm,2.99 in/75.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.82 in/20.8 mm,4.02 in/102.1 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVVPH11V050S,22211 ,50 mm,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,50 mm,Metric,QVVPH11V050SB/QVVPH11V050SC/QVVPH11V050SEB/QVVPH11V050SEC/QVVPH11V050SEM/QVVPH11V050SEN/QVVPH11V050SEO/QVVPH11V050SET/QVVPH11V050SM/QVVPH11V050SN/QVVPH11V050SO/QVVPH11V050ST,Double V-Lock,Four-Bolt Pillow Block,0883450148580/0883450148757/0883450153294/0883450153447/0883450176286/0883450176484/0883450185493/0883450185646/0883450279048/0883450279192/0883450283243/0883450283397,2.75 in/69.9 mm,5.31 in/134.9 mm,2.99 in/75.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.82 in/20.8 mm,4.02 in/102.1 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVVPG11V200S,22211 ,2 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,QVVPG11V200SB/QVVPG11V200SC/QVVPG11V200SEB/QVVPG11V200SEC/QVVPG11V200SEM/QVVPG11V200SEN/QVVPG11V200SEO/QVVPG11V200SET/QVVPG11V200SM/QVVPG11V200SN/QVVPG11V200SO/QVVPG11V200ST,Double V-Lock,Four-Bolt Pillow Block,0883450147637/0883450147866/0883450152709/0883450152853/0883450175012/0883450175166/0883450183918/0883450184908/0883450265041/0883450276535/0883450282666/0883450282819,2.75 in/69.9 mm,5.31 in/134.9 mm,2.99 in/75.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.82 in/20.8 mm,4.02 in/102.1 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVVPH11V200S,22211 ,2 in,2.75 in / 69.9 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,QVVPH11V200SB/QVVPH11V200SC/QVVPH11V200SEB/QVVPH11V200SEC/QVVPH11V200SEM/QVVPH11V200SEN/QVVPH11V200SEO/QVVPH11V200SET/QVVPH11V200SM/QVVPH11V200SN/QVVPH11V200SO/QVVPH11V200ST,Double V-Lock,Four-Bolt Pillow Block,0883450148627/0883450148795/0883450153317/0883450153461/0883450176309/0883450176507/0883450185516/0883450185660/0883450279062/0883450279215/0883450283267/0883450283410,2.75 in/69.9 mm,5.31 in/134.9 mm,2.99 in/75.9 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.57 in/39.9 mm,9.88 in/251 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.82 in/20.8 mm,4.02 in/102.1 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVVPH13V055S,22213 ,55 mm,3 in / 76.2 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,55 mm,Metric,QVVPH13V055SB/QVVPH13V055SC/QVVPH13V055SEB/QVVPH13V055SEC/QVVPH13V055SEM/QVVPH13V055SEN/QVVPH13V055SEO/QVVPH13V055SET/QVVPH13V055SM/QVVPH13V055SN/QVVPH13V055SO/QVVPH13V055ST,Double V-Lock,Four-Bolt Pillow Block,0883450148658/0883450148849/0883450153348/0883450153492/0883450176330/0883450176538/0883450185547/0883450185691/0883450279093/0883450279246/0883450283298/0883450283441,3 in/76.2 mm,5.95 in/151.1 mm,3.16 in/80.3 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,2 in/50.8 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.23 in/31.2 mm,0.5 in/12 mm,3.64 in/92.5 mm,0.67 in/17 mm,4.02 in/102.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVVPG12V055S,22212 ,55 mm,2.76 in / 70 mm,7 in / 177.8 mm,8.63 in / 219.2 mm,39000 lbf / 174000 N,38100 lbf / 169000 N,,Mounted Bearing,22212,55 mm,Metric,QVVPG12V055SB/QVVPG12V055SC/QVVPG12V055SEB/QVVPG12V055SEC/QVVPG12V055SEM/QVVPG12V055SEN/QVVPG12V055SEO/QVVPG12V055SET/QVVPG12V055SM/QVVPG12V055SN/QVVPG12V055SO/QVVPG12V055ST,Double V-Lock,Four-Bolt Pillow Block,883450424165/883450424172/883450424189/883450424196/883450424202/883450424219/883450424226/883450424233/883450424240/883450424257/883450424264/883450424271,2.76 in/70 mm,5.53 in/140.5 mm,3.15 in/80 mm,7 in/177.8 mm,8.63 in/219.2 mm,1.38 in/35.1 mm,10 in/254 mm,2.75 in/69.9 mm,1.25 in/31.8 mm,0.5 in/12 mm,3.39 in/86.1 mm,0.82 in/20.8 mm,4.02 in/102.1 mm,39000 lbf/174000 N,38100 lbf/169000 N,0.24,2.84,4.23,2000 rpm,3500 rpm,1650 rpm,2000 rpm,3000 rpm,1550 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPG13V203S,22213 ,2 3/16 in,3.15 in / 80 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,QVVPG13V203SB/QVVPG13V203SC/QVVPG13V203SEB/QVVPG13V203SEC/QVVPG13V203SEM/QVVPG13V203SEN/QVVPG13V203SEO/QVVPG13V203SET/QVVPG13V203SM/QVVPG13V203SN/QVVPG13V203SO/QVVPG13V203ST,Double V-Lock,Four-Bolt Pillow Block,0883450147644/0883450147897/0883450152716/0883450152860/0883450175029/0883450175173/0883450183925/0883450184915/0883450265058/0883450276689/0883450282673/0883450282826,3.15 in/80 mm,6.1 in/154.9 mm,3.16 in/80.3 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.89 in/48 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.64 in/92.5 mm,0.67 in/17 mm,4.02 in/102.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVVPH13V203S,22213 ,2 3/16 in,3 in / 76.2 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,QVVPH13V203SB/QVVPH13V203SC/QVVPH13V203SEB/QVVPH13V203SEC/QVVPH13V203SEM/QVVPH13V203SEN/QVVPH13V203SEO/QVVPH13V203SET/QVVPH13V203SM/QVVPH13V203SN/QVVPH13V203SO/QVVPH13V203ST,Double V-Lock,Four-Bolt Pillow Block,0883450148634/0883450148825/0883450153324/0883450153478/0883450176316/0883450176514/0883450185523/0883450185677/0883450279079/0883450279222/0883450283274/0883450283427,3 in/76.2 mm,5.95 in/151.1 mm,3.16 in/80.3 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,2 in/50.8 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.23 in/31.2 mm,0.5 in/12 mm,3.64 in/92.5 mm,0.67 in/17 mm,4.02 in/102.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
