Part Number,Shaft Size,Seal Type,Bearing Type,Cr - Dynamic Load Rating,Cor - Static Load Rating,Ca - Axial Load Rating,Maximum Speed,CAD,Shaft Size,Seal Type,Bearing Type,Support Type,Series Type,Pillow/Plummer Block Style,Bolt Size,Bearing Number,Housing,Support Reference,Bearing - Housing - Seal,Bearing UPC,Dimension H,Dimension H1,Dimension H2,Dimension J,Dimension L,Dimension M,Housing Width,Cr - Dynamic Load Rating,Cor - Static Load Rating,Maximum Speed,Note,Ca - Axial Load Rating,Bearing - Housing - Seal UPC
LSE103BXHS,1 3/16 in,Felt Type ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,['1 3/16 in'],['Felt Type'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE103BX'],['LSE103HX'],['S01'],['LSE103BXH'],['013992057839'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSE103BRHS,1 3/16 in,Felt Type ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,['1 3/16 in'],['Felt Type'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE103BR'],['LSE103HR'],['S01'],['LSE103BRH'],['013992057785'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['719.38 lbf', '3200 N']",
LSE103BXHSKPS,1 3/16 in,Kevlar Packing Seal ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,['1 3/16 in'],['Kevlar Packing Seal'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE103BX'],['LSE103HX'],['S01'],['LSE103BXHKPS'],['013992057839'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992086877']
LSE103BRHSKPS,1 3/16 in,Kevlar Packing Seal ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,['1 3/16 in'],['Kevlar Packing Seal'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE103BR'],['LSE103HR'],['S01'],['LSE103BRHKPS'],['013992057785'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['719.38 lbf', '3200 N']",['013992086426']
LSE103BXHSRSS,1 3/16 in,Viton Single Lip ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,['1 3/16 in'],['Viton Single Lip'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE103BX'],['LSE103HX'],['S01'],['LSE103BXHRSS'],['013992057839'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992086921']
LSE103BRHSRSS,1 3/16 in,Viton Single Lip ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,['1 3/16 in'],['Viton Single Lip'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE103BR'],['LSE103HR'],['S01'],['LSE103BRHRSS'],['013992057785'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['719.38 lbf', '3200 N']",['013992086471']
LSE103BXHSHTPS,1 3/16 in,High Temperature Packing ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,['1 3/16 in'],['High Temperature Packing'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE103BX'],['LSE103HX'],['S01'],['LSE103BXHHTPS'],['013992057839'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992086822']
LSE103BRHSHTPS,1 3/16 in,High Temperature Packing ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,['1 3/16 in'],['High Temperature Packing'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE103BR'],['LSE103HR'],['S01'],['LSE103BRHHTPS'],['013992057785'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['719.38 lbf', '3200 N']",['013992086372']
LSE103BXHSATL,1 3/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,['1 3/16 in'],['Aluminium Triple Labyrinth'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE103BX'],['LS1HXTL'],['S01'],,,"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.4 in', '86 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSE103BRHSATL,1 3/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,['1 3/16 in'],['Aluminium Triple Labyrinth'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE103BR'],['LS1HRTL'],['S01'],,,"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.4 in', '86 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['719.38 lbf', '3200 N']",
