,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,PDF_Page
0,BearingPart No.<s>(1)(2)</s>,Shaft Dia.,Bearing No.,A,B,C,D min.,D max.,F,G,H,J,L,Rv<s>(1)</s>,Rvv,Sv<s>(1)</s>,Svv,Wt.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,94
1,,mmin.,,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmmm  in.in.,mmin.,mmin.,mmin.,mmin.,mmin.,kglbs.,,,,,,,,94
2,QVP11V115S  / QVVP11V115S,1 15/16in. ,22211,57.2 / 2.25,122.2 / 4.81,75.9 / 2.99,152.4 / 6.00,181.1 / 7.13,225.6 / 8.88,62.0 / 2.44,31.8 / 1.25,16mm  5/8in.,82.0 / 3.23,2.2 / 0.09,20.1 / 0.79,79.8 / 3.14,102.1 / 4.02,6.4 / 14,22211,22211,22211,22211,22211,22211,22211,94
3,QVP11V200S  / QVVP11V200S,2in. ,22211,57.2 / 2.25,122.2 / 4.81,75.9 / 2.99,152.4 / 6.00,181.1 / 7.13,225.6 / 8.88,62.0 / 2.44,31.8 / 1.25,16mm  5/8in.,82.0 / 3.23,2.2 / 0.09,20.1 / 0.79,79.8 / 3.14,102.1 / 4.02,6.4 / 14,22211,22211,22211,22211,22211,22211,22211,94
4,QVP11V050S  / QVVP11V050S,50mm ,22211,57.2 / 2.25,122.2 / 4.81,75.9 / 2.99,152.4 / 6.00,181.1 / 7.13,225.6 / 8.88,62.0 / 2.44,31.8 / 1.25,16mm  5/8in.,82.0 / 3.23,2.2 / 0.09,20.1 / 0.79,79.8 / 3.14,102.1 / 4.02,6.4 / 14,22211,22211,22211,22211,22211,22211,22211,94
5,QVP12V203S  / QVVP12V203S,2 3/16in. ,22212,63.5 / 2.50,133.4 / 5.25,80.3 / 3.16,165.1 / 6.50,200.2 / 7.88,244.6 / 9.63,66.8 / 2.63,31.8 / 1.25,16mm  5/8in.,84.6 / 3.33,4.7 / 0.18,17.8 / 0.70,79.8 / 3.14,102.1 / 4.02,7.7 / 17,22212,22212,22212,22212,22212,22212,22212,94
6,QVP12V204S  / QVVP12V204S,2 1/4in. ,22212,63.5 / 2.50,133.4 / 5.25,80.3 / 3.16,165.1 / 6.50,200.2 / 7.88,244.6 / 9.63,66.8 / 2.63,31.8 / 1.25,16mm  5/8in.,84.6 / 3.33,4.7 / 0.18,17.8 / 0.70,79.8 / 3.14,102.1 / 4.02,7.7 / 17,22212,22212,22212,22212,22212,22212,22212,94
7,QVP12V055S  / QVVP12V055S,55mm ,22212,63.5 / 2.50,133.4 / 5.25,80.3 / 3.16,165.1 / 6.50,200.2 / 7.88,244.6 / 9.63,66.8 / 2.63,31.8 / 1.25,16mm  5/8in.,84.6 / 3.33,4.7 / 0.18,17.8 / 0.70,79.8 / 3.14,102.1 / 4.02,7.7 / 17,22212,22212,22212,22212,22212,22212,22212,94
8,QVP14V060S  / QVVP14V060S,60mm ,22214,69.9 / 2.75,147.3 / 5.80,94.0 / 3.70,174.8 / 6.88,219.2 / 8.63,260.4 / 10.25,73.7 / 2.90,35.1 / 1.38,16mm  5/8in.,88.9 / 3.50,7.8 / 0.31,15.2 / 0.60,81.0 / 3.19,103.9 / 4.09,10.0 / 22,22214,22214,22214,22214,22214,22214,22214,94
9,QVP14V207S  / QVVP14V207S,2 7/16in. ,22214,69.9 / 2.75,147.3 / 5.80,94.0 / 3.70,174.8 / 6.88,219.2 / 8.63,260.4 / 10.25,73.7 / 2.90,35.1 / 1.38,16mm  5/8in.,88.9 / 3.50,7.8 / 0.31,15.2 / 0.60,81.0 / 3.19,103.9 / 4.09,10.0 / 22,22214,22214,22214,22214,22214,22214,22214,94
10,QVP14V208S  / QVVP14V208S,2 1/2in. ,22214,69.9 / 2.75,147.3 / 5.80,94.0 / 3.70,174.8 / 6.88,219.2 / 8.63,260.4 / 10.25,73.7 / 2.90,35.1 / 1.38,16mm  5/8in.,88.9 / 3.50,7.8 / 0.31,15.2 / 0.60,81.0 / 3.19,103.9 / 4.09,10.0 / 22,22214,22214,22214,22214,22214,22214,22214,94
11,QVP14V065S  / QVVP14V065S,65mm ,22214,69.9 / 2.75,147.3 / 5.80,94.0 / 3.70,174.8 / 6.88,219.2 / 8.63,260.4 / 10.25,73.7 / 2.90,35.1 / 1.38,16mm  5/8in.,88.9 / 3.50,7.8 / 0.31,15.2 / 0.60,81.0 / 3.19,103.9 / 4.09,10.0 / 22,22214,22214,22214,22214,22214,22214,22214,94
12,QVP16V211S  / QVVP16V211S,2 11/16in. ,22216,79.5 / 3.13,164.3 / 6.47,106.4 / 4.19,200.2 / 7.88,244.6 / 9.63,295.4 / 11.63,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,91.2 / 3.59,7.6 / 0.30,15.0 / 0.59,83.6 / 3.29,106.2 / 4.18,12.7 / 28,22216,22216,22216,22216,22216,22216,22216,94
